"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.204166667E-4,1.444747585E-1,-4.717592061E-2,4.495368630E-2,1.584908743E-1
1.016641667E-2,2.065908998E-1,-3.647610068E-2,4.982675582E-2,2.156223815E-1
2.011341669E-2,1.146001643E-1,1.668619931E-2,2.433845043E-2,1.183384429E-1
3.005941669E-2,-2.201827526E-2,2.467349589E-2,7.023383081E-3,3.380700748E-2
4.000641668E-2,-1.431626433E-1,2.584469318E-3,1.585501760E-2,1.440611103E-1
4.995241668E-2,-1.434216750E-1,-1.039868832E-2,4.892014503E-2,1.518917054E-1
5.989941666E-2,-7.635937393E-2,-4.036566854E-2,-8.651832640E-3,8.680435122E-2
6.984541667E-2,6.174075007E-3,-7.263294339E-2,-6.788325012E-3,7.321027950E-2
7.979241668E-2,1.444256419E-1,-3.444185436E-2,9.869807661E-3,1.488032946E-1
8.973841669E-2,2.619347960E-1,3.708304167E-2,6.256520748E-4,2.645475019E-1
9.968541667E-2,2.232999033E-1,3.295549214E-2,-8.536320895E-2,2.413209247E-1
1.096314167E-1,1.747159731E-1,1.828307390E-2,-1.307776558E-1,2.190039665E-1
1.195774167E-1,5.694427907E-2,-5.162506700E-3,-1.799369520E-1,1.888030961E-1
1.295244167E-1,1.351350009E-2,-7.768610716E-3,-1.578069949E-1,1.585749464E-1
1.394704167E-1,-5.372831047E-2,-1.252882898E-2,-1.480038455E-1,1.579520218E-1
1.494174167E-1,-6.205240667E-2,-4.338458598E-2,-1.246032885E-1,1.458036453E-1
1.593634167E-1,-1.919523954E-2,-6.012633383E-2,-7.133544624E-2,9.524903743E-2
1.693104167E-1,1.945251703E-2,-4.313374043E-2,-6.162088215E-2,7.769204013E-2
1.792564167E-1,3.612234414E-2,-4.094278872E-2,-6.861999929E-3,5.502928981E-2
1.892034167E-1,2.303218246E-2,-1.360120833E-2,4.011774659E-2,4.821729864E-2
1.991494167E-1,2.784444094E-2,-6.688045263E-3,3.435999334E-2,4.472864834E-2
2.090964167E-1,3.686961830E-2,-1.832517385E-2,1.768607318E-2,4.481046680E-2
2.190424167E-1,3.019852996E-2,-2.198202252E-2,-1.242182493E-2,3.936320948E-2
2.289894167E-1,3.889743268E-2,-2.001969695E-2,-3.797415733E-2,5.792957069E-2
2.389354167E-1,4.384476185E-2,-2.050852418E-2,-4.376757860E-2,6.525767114E-2
2.488824167E-1,4.936745703E-2,-3.428807259E-3,-6.887435317E-2,8.480907415E-2
2.588284167E-1,7.479407430E-2,6.513798237E-3,-9.411736786E-2,1.203937791E-1
2.687754167E-1,9.226964772E-2,-1.121612906E-2,-8.590524584E-2,1.265669811E-1
2.787214167E-1,8.987930596E-2,-2.682293236E-2,-8.193381697E-2,1.245428027E-1
2.886674167E-1,8.921623170E-2,-3.574402928E-2,-5.812044650E-2,1.123172201E-1
2.986144167E-1,4.939318478E-2,-1.079805315E-2,-5.335964352E-2,7.350874921E-2
3.085604167E-1,-1.839300156E-2,-2.896008968E-2,-1.128337204E-2,3.611514621E-2
3.185074167E-1,-5.312838614E-2,-2.978396237E-2,3.094346523E-3,6.098593943E-2
3.284534167E-1,-6.457021773E-2,-3.210530698E-2,-4.252182931E-2,8.371481184E-2
3.384004167E-1,-5.786638498E-2,-2.855546236E-2,-6.180740833E-2,8.935372777E-2
3.483464167E-1,-8.200135231E-3,-5.379438400E-5,2.026995778E-2,2.186587067E-2
3.582934167E-1,2.175515056E-2,-1.223646820E-2,1.359770000E-2,2.842384870E-2
3.682394167E-1,5.299039185E-2,-3.476695955E-2,-1.860700965E-2,6.605258445E-2
3.781864167E-1,7.190028727E-2,-4.893242419E-2,-1.564978033E-2,8.836825828E-2
3.881324167E-1,4.810445845E-2,-2.135520101E-2,-3.611708164E-2,6.383202268E-2
3.980794167E-1,9.494708776E-3,-3.724091649E-3,-4.759545833E-2,4.867592841E-2
4.080254167E-1,-4.622107029E-2,-3.115396500E-3,-5.322252631E-2,7.056011863E-2
4.179714167E-1,-2.562132955E-2,6.168812513E-3,-5.619934380E-2,6.207151536E-2
4.279184167E-1,-1.655405223E-2,-1.675987422E-2,-7.947681695E-2,8.289447788E-2
4.378644167E-1,-8.436479688E-2,-3.636734247E-2,-1.066964829E-1,1.407982316E-1
4.478114167E-1,-1.523421872E-1,-5.309271812E-4,-7.336501479E-2,1.690882884E-1
4.577574167E-1,-1.130898285E-1,2.523658276E-2,-2.605051517E-2,1.187637308E-1
4.677044167E-1,-3.770284653E-2,1.819887400E-2,1.479813337E-2,4.440369807E-2
4.776504167E-1,3.214097500E-2,-3.135569394E-2,3.574110568E-2,5.739031670E-2
4.875974167E-1,1.138406110E-1,-6.555898190E-2,3.399805069E-2,1.356964711E-1
4.975434167E-1,1.262004554E-1,-6.321424842E-2,1.204877257E-2,1.416607535E-1
5.074904167E-1,2.195044756E-3,-1.324569762E-2,-6.472166061E-2,6.609962239E-2
