"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.673958316E-3,7.460348430E-1,6.237745339E-1,-1.427814049E-1,9.828780116E-1
1.762095833E-2,7.509979597E-1,8.775203043E-1,-1.616214260E-1,1.166259536E0
2.756695834E-2,7.016604696E-1,1.077369949E0,-4.736566275E-2,1.286583432E0
3.751395832E-2,6.429686040E-1,1.309583933E0,8.019660920E-2,1.461112658E0
4.745995832E-2,5.886220966E-1,1.421653422E0,3.204625010E-1,1.571709464E0
5.740695831E-2,4.906125297E-1,1.404090140E0,4.440621150E-1,1.552211628E0
6.735395832E-2,3.335807659E-1,1.398805427E0,5.327751938E-1,1.533552137E0
7.729995833E-2,1.747503621E-1,1.431990130E0,4.618858901E-1,1.514751464E0
8.724695831E-2,3.247150714E-2,1.487082596E0,2.882346949E-1,1.515106691E0
9.719295832E-2,-1.982630029E-2,1.603624620E0,2.934887105E-1,1.630380517E0
1.071399583E-1,-3.832689062E-2,1.678857821E0,3.934421843E-1,1.724769343E0
1.170869583E-1,-1.049823716E-1,1.708744109E0,4.575650901E-1,1.772059125E0
1.270329583E-1,-1.942401003E-1,1.809467661E0,5.503596716E-1,1.901262266E0
1.369799583E-1,-2.761169069E-1,2.002019981E0,5.071446548E-1,2.083631506E0
1.469259583E-1,-3.421094781E-1,2.181444132E0,3.550750941E-1,2.236473948E0
1.568729583E-1,-3.154723410E-1,2.323455459E0,3.841243538E-1,2.376030216E0
1.668199583E-1,-2.355777222E-1,2.563414664E0,5.397895136E-1,2.630202335E0
1.767659583E-1,-1.746614296E-1,2.798911859E0,6.206817953E-1,2.872222154E0
1.867129583E-1,4.071050808E-2,2.884279454E0,6.813760400E-1,2.963949834E0
1.966589583E-1,1.626661773E-1,2.940403953E0,7.927894717E-1,3.049746029E0
2.066059583E-1,2.206639602E-1,2.901759705E0,8.922216663E-1,3.043839922E0
2.165529583E-1,1.126087488E-1,2.807670404E0,1.004379741E0,2.984036275E0
2.264989583E-1,2.203274712E-2,2.865581812E0,9.186928886E-1,3.009325703E0
2.364459583E-1,2.479718277E-2,2.868532317E0,7.434370713E-1,2.963408719E0
2.463919583E-1,-1.571293026E-1,2.778671722E0,6.467575997E-1,2.857271697E0
2.563389583E-1,-3.921670893E-1,2.641459790E0,5.616333957E-1,2.728834352E0
2.662859583E-1,-5.130137610E-1,2.563797072E0,5.744811903E-1,2.676988454E0
2.762319583E-1,-7.391551553E-1,2.650378549E0,7.335511838E-1,2.847622541E0
2.861789583E-1,-7.473748787E-1,2.670042735E0,8.819893312E-1,2.909570861E0
2.961249583E-1,-5.817478175E-1,2.709210309E0,9.784906089E-1,2.938655286E0
3.060719583E-1,-4.498423800E-1,2.826762732E0,1.024098306E0,3.040020239E0
3.160189583E-1,-2.033260704E-1,2.943491868E0,1.168001061E0,3.173281006E0
3.259649583E-1,6.125152085E-2,2.882444597E0,1.416604351E0,3.212321045E0
3.359119583E-1,3.542695305E-1,2.547402064E0,1.618702251E0,3.038907888E0
3.458579583E-1,4.425483074E-1,2.109143896E0,1.591172975E0,2.678837138E0
3.558049583E-1,5.250225532E-1,1.787445293E0,1.559067668E0,2.429259424E0
3.657519583E-1,5.726988128E-1,1.296913601E0,1.632029225E0,2.161825203E0
3.756979583E-1,5.904899897E-1,4.565160996E-1,1.671053542E0,1.830165380E0
3.856449583E-1,4.899137143E-1,-5.247221160E-1,1.677867887E0,1.824990245E0
3.955909583E-1,2.157292939E-1,-1.547986025E0,1.650459648E0,2.273063332E0
4.055379583E-1,-6.992224731E-2,-2.651173770E0,1.356579759E0,2.978912574E0
4.154849583E-1,-2.170748113E-1,-3.668078247E0,9.205096185E-1,3.788041375E0
4.254309583E-1,-2.598001968E-1,-4.510136358E0,6.049271306E-1,4.557934065E0
4.353779583E-1,-3.247277525E-1,-5.199919524E0,4.298522115E-1,5.227751342E0
4.453239583E-1,-3.178207290E-1,-5.872552807E0,2.169419333E-2,5.881186711E0
4.552709583E-1,-1.044409195E-1,-6.357442521E0,-4.162176740E-1,6.371908699E0
4.652179583E-1,3.204640359E-1,-6.580287511E0,-6.575123104E-1,6.620815914E0
4.751639583E-1,6.983264603E-1,-6.641427167E0,-5.246553116E-1,6.698617608E0
4.851109583E-1,9.452611747E-1,-6.812963424E0,-7.321634933E-2,6.878615409E0
4.950569583E-1,1.159959093E0,-6.958432794E0,3.090311944E-1,7.061217482E0
5.050039583E-1,1.383816821E0,-6.908401678E0,6.496722905E-1,7.075523785E0
5.149509583E-1,1.549035892E0,-6.953827527E0,8.585349798E-1,7.175814364E0
5.248969583E-1,1.610203615E0,-7.207089148E0,7.388095848E-1,7.421639258E0
5.348439583E-1,1.422393680E0,-7.463518791E0,6.957120971E-1,7.629635105E0
5.447899583E-1,1.007652939E0,-7.858746130E0,7.683979578E-1,7.960256943E0
5.547369583E-1,4.706668000E-1,-8.203081058E0,5.391776025E-1,8.234244262E0
5.646839583E-1,1.970701709E-2,-8.106238303E0,1.904343121E-1,8.108498814E0
5.746299583E-1,-1.960972673E-1,-8.064492692E0,-2.130827710E-2,8.066904645E0
5.845769583E-1,-3.061021049E-1,-7.870633519E0,-3.563044712E-2,7.876664270E0
5.945229583E-1,-3.167062497E-1,-7.498317325E0,-1.943918538E-1,7.507519813E0
6.044699583E-1,-1.384046178E-1,-7.005817460E0,-1.261817443E-1,7.008320481E0
6.144169583E-1,6.756735429E-2,-6.448138683E0,1.673088665E-1,6.450662763E0
6.243629583E-1,9.230122268E-2,-6.006364583E0,2.502584179E-1,6.012284449E0
6.343099583E-1,4.832913771E-2,-5.623452065E0,3.980666741E-1,5.637730564E0
6.442559583E-1,-1.278137022E-1,-5.328112126E0,4.754663408E-1,5.350811472E0
6.542029583E-1,-3.453885967E-1,-4.981297393E0,3.425661457E-1,5.004994363E0
6.641499583E-1,-3.320583337E-1,-4.328708366E0,1.325879904E-1,4.343450060E0
6.740959583E-1,1.280469330E-1,-3.419489720E0,-3.378168544E-2,3.422053063E0
