"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.191083317E-3,-6.199437305E-1,-2.724041187E0,-1.592208517E-1,2.798228349E0
1.613708332E-2,-7.839318171E-1,-2.346936123E0,-2.099146765E-2,2.474489624E0
2.608408334E-2,-8.674636781E-1,-1.929116896E0,-9.278010964E-2,2.117213589E0
3.603008331E-2,-9.311553517E-1,-1.606896138E0,-8.160962541E-2,1.858985104E0
4.597708333E-2,-8.358968997E-1,-1.253926626E0,5.723218136E-3,1.507013061E0
5.592408331E-2,-6.997439716E-1,-7.700198293E-1,1.196889595E-1,1.047328798E0
6.587008332E-2,-6.839034989E-1,-3.604165256E-1,1.887013435E-1,7.957589238E-1
7.581708333E-2,-7.526026549E-1,-7.638217807E-3,2.286542169E-1,7.866078117E-1
8.576308333E-2,-7.564866679E-1,4.844786543E-1,3.776552868E-1,9.744819961E-1
9.571008332E-2,-8.446631916E-1,9.878005457E-1,4.641940784E-1,1.380102158E0
1.056570833E-1,-7.697190631E-1,1.376940349E0,5.004070544E-1,1.654943921E0
1.156030833E-1,-3.772901282E-1,1.809772886E0,6.593729675E-1,1.962752774E0
1.255500833E-1,1.757735883E-1,2.353493190E0,8.290533185E-1,2.501430782E0
1.354960833E-1,6.288290133E-1,3.113335356E0,9.207131016E-1,3.306961685E0
1.454430833E-1,9.049593870E-1,3.817632481E0,1.058275867E0,4.063645785E0
1.553900833E-1,8.054213579E-1,4.304250047E0,1.180682648E0,4.535337203E0
1.653360833E-1,5.459872699E-1,4.659564292E0,1.137934824E0,4.827477308E0
1.752830833E-1,2.672399747E-1,4.822049060E0,1.069625312E0,4.946480835E0
1.852290833E-1,-2.669826972E-1,4.753804452E0,9.898517489E-1,4.863100144E0
1.951760833E-1,-8.835248101E-1,4.442767078E0,8.430106223E-1,4.607544064E0
2.051220833E-1,-1.127382062E0,4.257426129E0,7.196530831E-1,4.462574158E0
2.150690833E-1,-1.604439868E0,5.387609884E0,-4.149523365E-1,5.636732475E0
2.250160833E-1,-2.755862904E0,7.333776092E0,-1.061781857E0,7.906100987E0
2.349620833E-1,-3.795025099E0,7.077797270E0,-9.964824915E-2,8.031647370E0
2.449090833E-1,-3.212733052E0,5.784097298E0,-7.395207524E-1,6.657651700E0
2.548550833E-1,-2.824297546E0,2.498974839E0,-5.813126385E-1,3.815685556E0
2.648020833E-1,-2.698101184E0,1.503225589E-1,-1.380650407E-1,2.705810198E0
2.747490833E-1,-9.277844319E-1,5.351418543E-1,9.853201568E-1,1.455340705E0
2.846950833E-1,1.354159597E-1,4.129590207E-1,1.602647551E0,1.660527569E0
2.946420833E-1,3.551274267E-1,4.987674952E-3,1.654870788E0,1.692553601E0
3.045880833E-1,3.208022243E-1,-2.911299437E-1,1.597607836E0,1.655301032E0
3.145350833E-1,-7.147227108E-2,-5.773844790E-1,1.372996402E0,1.491174115E0
3.244820833E-1,-9.774783097E-1,-4.958479804E-1,8.926575762E-1,1.413565214E0
3.344280833E-1,-1.963299719E0,1.576801103E-1,4.262392169E-1,2.015214300E0
3.443750833E-1,-2.673866521E0,9.883987159E-1,-4.924525023E-2,2.851125969E0
3.543210833E-1,-2.910491060E0,1.588634698E0,-4.764767396E-1,3.349887834E0
3.642680833E-1,-2.755795368E0,2.037934164E0,-4.872057956E-1,3.461929124E0
3.742150833E-1,-2.293196118E0,2.474846889E0,-1.563919505E-1,3.377584048E0
3.841610833E-1,-1.842127138E0,2.793555225E0,1.967979465E-1,3.352031119E0
3.941080833E-1,-1.603921367E0,2.692207775E0,3.876978797E-1,3.157666243E0
4.040540833E-1,-1.449988006E0,2.492840526E0,6.865660286E-1,2.964471625E0
4.140010833E-1,-1.288268347E0,2.364366673E0,9.925964320E-1,2.869688619E0
4.239480833E-1,-1.104751291E0,2.147350187E0,1.083894272E0,2.646963361E0
4.338940833E-1,-8.770959426E-1,1.819175209E0,1.006449655E0,2.256465520E0
4.438410833E-1,-7.711281690E-1,1.554370015E0,8.754246622E-1,1.943469355E0
4.537870833E-1,-7.101984277E-1,1.298369558E0,6.828542161E-1,1.629857416E0
