"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.160374985E-3,2.068816819E0,-2.214672689E0,-1.341250699E0,3.314171327E0
1.410337500E-2,4.963354043E0,-3.909884588E0,-1.518124294E-1,6.320215808E0
2.404737499E-2,8.216672326E0,-4.610776294E0,1.363664830E0,9.520112600E0
3.399037500E-2,9.710696152E0,-3.936645539E0,1.323770740E0,1.056158922E1
4.393437499E-2,9.020225937E0,-2.653410330E0,4.820915285E-1,9.414747717E0
5.387737500E-2,7.205170677E0,-1.846533746E0,4.295911333E-1,7.450417431E0
6.382137499E-2,2.246930463E0,-6.437313148E0,1.602221289E0,7.003913915E0
7.376437500E-2,-5.319477543E0,-2.335791681E1,5.511144594E0,2.458173781E1
8.370837499E-2,-5.536631438E0,-2.857318644E1,5.405652637E0,2.960240449E1
9.365237498E-2,-1.829342932E0,-1.535661497E1,-4.250551558E0,1.603868160E1
1.035953750E-1,-2.826217187E0,-4.668615198E0,-6.656627589E0,8.607796600E0
1.135393750E-1,-6.169313035E0,3.653480673E-1,-5.584587961E0,8.329557325E0
1.234823750E-1,-1.047189078E1,1.678176035E0,-6.811020395E0,1.260423620E1
1.334263750E-1,-8.313818552E0,2.058922160E0,-7.773789010E0,1.156678585E1
1.433693750E-1,-4.960798810E0,1.819313788E0,-8.428216987E0,9.947576040E0
1.533133750E-1,-1.154955484E0,2.103977296E0,-8.801165265E0,9.122562834E0
1.632563750E-1,-1.149685389E-1,3.130147855E0,-7.864846530E0,8.465627815E0
1.732003750E-1,1.118025640E0,4.001632079E0,-5.709754044E0,7.061468110E0
1.831433750E-1,2.115444270E0,4.193695571E0,-3.470239459E0,5.839927132E0
1.930873750E-1,2.727238152E0,4.274357911E0,-1.583701987E0,5.311880597E0
2.030303750E-1,3.795239984E0,4.214728591E0,2.055676371E-1,5.675389122E0
2.129743750E-1,4.560437030E0,3.986729865E0,9.021940926E-1,6.124177913E0
2.229173750E-1,4.660166263E0,3.466987823E0,2.386131763E-1,5.813268479E0
2.328613750E-1,5.292851077E0,2.726080695E0,-1.121747392E0,6.058391345E0
2.428043750E-1,5.816304932E0,1.965210589E0,-2.157685433E0,6.507462036E0
2.527483750E-1,6.210374522E0,1.698989199E0,-2.769536617E0,7.008969188E0
2.626913750E-1,6.498049346E0,1.732455153E0,-3.048107327E0,7.383563126E0
2.726353750E-1,6.641571593E0,2.001444615E0,-2.885401534E0,7.512775505E0
2.825783750E-1,6.677974019E0,2.335959145E0,-2.609380211E0,7.540617164E0
2.925223750E-1,6.346366725E0,2.577446228E0,-2.332458124E0,7.236018281E0
3.024653750E-1,5.566619468E0,2.936285759E0,-2.104860225E0,6.636223544E0
3.124093750E-1,4.665911445E0,3.086020673E0,-1.900962553E0,5.908291787E0
3.223523750E-1,3.908990841E0,2.920785375E0,-1.671893202E0,5.158141475E0
3.322963750E-1,2.608210183E0,2.612944089E0,-1.398614223E0,3.947956296E0
3.422403750E-1,1.176035574E0,2.017668300E0,-8.208447048E-1,2.475445630E0
3.521833750E-1,-1.053491382E0,1.098586571E0,4.241704720E-1,1.580081370E0
3.621273750E-1,-3.822993501E0,2.824696326E-1,2.578795180E0,4.620092313E0
3.720703750E-1,-6.317611873E0,-4.853832185E-1,4.828420478E0,7.966270204E0
3.820143750E-1,-8.676241842E0,-1.692080129E0,6.521179177E0,1.098481158E1
3.919573750E-1,-1.222558770E1,-3.294606058E0,7.854401064E0,1.490003489E1
4.019013750E-1,-1.545258532E1,-5.166314406E0,8.125490845E0,1.820705356E1
4.118443750E-1,-1.754031379E1,-6.188268539E0,7.957481044E0,2.023063963E1
4.217883750E-1,-1.553550235E1,-4.847131861E0,7.255682434E0,1.781828971E1
4.317313750E-1,-9.592580642E0,-2.345443329E0,5.920268426E0,1.151383021E1
4.416753750E-1,-4.123156516E0,-6.286592978E-1,3.676460523E0,5.559855587E0
4.516183750E-1,-2.754342628E-1,1.397209137E0,-1.524755622E0,2.086369361E0
4.615623750E-1,2.609467919E0,3.235921648E0,-8.590605860E0,9.543532930E0
4.715053750E-1,5.688438604E0,1.801984395E0,-8.657873983E0,1.051495428E1
4.814493750E-1,7.215920198E0,-1.527532464E0,-6.788775832E0,1.002448687E1
4.913923750E-1,7.719528018E0,-4.146990352E0,-3.744298457E0,9.529344822E0
5.013363750E-1,5.781302329E0,-6.193640960E0,-2.090560859E0,8.726688357E0
