"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.677916673E-3,-8.150008805E0,3.934419504E0,-1.629164674E0,9.195459635E0
1.461991668E-2,-7.883844718E0,3.311609761E0,-1.784232833E0,8.735287835E0
2.456191668E-2,-4.816298031E0,2.560725530E0,2.547916912E-2,5.454786077E0
3.450491666E-2,-2.120643176E0,1.599992330E0,1.479722559E0,3.040835706E0
4.444691667E-2,-1.769042571E-1,6.232289886E-1,1.855957119E0,1.965778806E0
5.438991668E-2,1.661854702E0,-5.204080403E-2,1.527068780E0,2.257522615E0
6.433191668E-2,3.571443653E0,-2.696238846E-1,1.088314767E0,3.743305469E0
7.427391666E-2,5.558101244E0,1.324786109E-1,2.552314018E-1,5.565535292E0
8.421691667E-2,7.076670511E0,8.658247036E-1,-9.031544977E-1,7.186418161E0
9.415891668E-2,7.813496867E0,1.626013024E0,-2.204505697E0,8.279764309E0
1.041009167E-1,7.736544001E0,2.091187681E0,-3.742489913E0,8.844965220E0
1.140439167E-1,7.412028210E0,2.064610332E0,-5.298649760E0,9.342187500E0
1.239859167E-1,6.329916168E0,1.309818991E0,-5.099489502E0,8.233362477E0
1.339289167E-1,4.694908080E0,-2.164814651E-2,-2.282175871E0,5.220244939E0
1.438709167E-1,3.651732063E0,-1.005584267E0,7.837695569E-1,3.867898848E0
1.538129167E-1,3.366395833E0,-1.330604673E0,2.098028046E0,4.183879944E0
1.637559167E-1,3.484915971E0,-1.031075789E0,1.698673450E0,4.011639078E0
1.736979167E-1,3.876288825E0,-7.148156816E-1,2.906405318E-1,3.952347206E0
1.836409167E-1,4.097355969E0,-8.017971075E-1,-2.400503635E0,4.815975731E0
1.935829167E-1,4.167394211E0,-1.618065489E0,-5.456968971E0,7.054347652E0
2.035253750E-1,3.518913437E0,-2.939938515E0,-6.472626237E0,7.932268317E0
2.134683750E-1,2.264486435E0,-3.797734407E0,-5.347390396E0,6.938679232E0
2.234103750E-1,1.156485408E0,-3.744490246E0,-3.180722178E0,5.047341802E0
2.333523750E-1,5.177803016E-1,-3.318164490E0,-1.106620061E0,3.535946830E0
2.432953750E-1,6.892845453E-1,-3.095674426E0,4.479690783E-1,3.202965756E0
2.532373750E-1,1.458448927E0,-3.362208642E0,6.228196836E-1,3.717448666E0
2.631793750E-1,3.462044002E0,-3.603886929E0,-7.854151095E-1,5.058717877E0
2.731223750E-1,5.655767287E0,-3.706555265E0,-2.634048445E0,7.257028782E0
2.830643750E-1,7.133392012E0,-3.832787295E0,-4.340631423E0,9.187851827E0
2.930073750E-1,7.801624095E0,-3.622052473E0,-5.483985447E0,1.020091658E1
3.029493750E-1,8.096447725E0,-3.079147856E0,-5.790188343E0,1.041920814E1
3.128913750E-1,7.794838986E0,-2.432070998E0,-5.793113705E0,1.001172565E1
3.228343750E-1,7.232685919E0,-1.600090563E0,-6.459179395E0,9.828175511E0
3.327763750E-1,6.545217081E0,-5.780873144E-1,-5.650837499E0,8.666372714E0
3.427183750E-1,6.152010539E0,1.688810366E-1,-2.780527629E0,6.753302035E0
3.526613750E-1,5.996459985E0,7.123276913E-1,-2.113561467E0,6.397818782E0
3.626033750E-1,4.299902350E0,4.531264687E-1,-2.026564254E0,4.775086019E0
3.725463750E-1,1.354806445E0,-8.057860780E-1,-4.879138935E-1,1.650106564E0
3.824883750E-1,-1.840851276E0,-2.832116443E0,3.483957027E0,4.852584212E0
3.924303750E-1,-3.164592926E0,-5.542133083E0,7.976918943E0,1.021572921E1
4.023733750E-1,-3.139321552E0,-8.069245309E0,9.362813133E0,1.275265970E1
4.123153750E-1,-2.242105633E0,-1.038081455E1,7.812491730E0,1.318420932E1
4.222573750E-1,-9.318822337E-1,-1.239833082E1,4.716503309E0,1.329783498E1
4.322003750E-1,6.175240065E-1,-1.136466238E1,1.813976157E0,1.152507685E1
4.421423750E-1,1.203892586E0,-8.445325940E0,3.649130344E-2,8.530780692E0
4.520853750E-1,7.359516120E-1,-5.725033988E0,2.769440138E-1,5.778783343E0
4.620273750E-1,-8.463881202E-1,-4.381642039E0,1.443463683E0,4.690282211E0
4.719693750E-1,-2.609137844E0,-4.260525153E0,2.417763007E0,5.550247997E0
4.819123750E-1,-3.044162503E0,-4.181325787E0,3.429542838E0,6.205817815E0
4.918543750E-1,-2.634597498E0,-3.912097759E0,4.929003990E0,6.822073965E0
5.017963750E-1,-6.706297347E-1,-2.196367396E0,3.840980706E0,4.475143211E0
5.117393750E-1,4.700714073E-1,-4.911240149E-1,3.469062707E0,3.535048230E0
5.216813750E-1,3.942850605E-1,5.971866596E-1,2.659074528E0,2.753682981E0
5.316243750E-1,-4.238602772E-1,1.388710794E0,2.101166685E0,2.554031449E0
5.415663750E-1,-7.576623237E-1,2.334760466E0,2.474355723E0,3.485339994E0
5.515083750E-1,-1.726868724E0,2.968865275E0,3.594911453E0,4.971883442E0
5.614513750E-1,-3.131316421E0,3.543481683E0,4.090491923E0,6.252481838E0
5.713933750E-1,-4.389708273E0,4.282248729E0,4.197247755E0,7.431290710E0
5.813353750E-1,-5.296027869E0,4.742918690E0,4.556806786E0,8.444387306E0
5.912783750E-1,-5.922507325E0,5.023614863E0,5.233212985E0,9.364791372E0
6.012203750E-1,-6.580851767E0,5.098128271E0,5.706821081E0,1.009288505E1
6.111633750E-1,-7.212208970E0,5.351154249E0,5.905522918E0,1.074830270E1
6.211053750E-1,-7.375405344E0,5.799657909E0,5.842737855E0,1.105306390E1
6.310473750E-1,-7.490728224E0,6.175558446E0,5.843613768E0,1.133121147E1
6.409903750E-1,-7.688823119E0,6.340765677E0,5.725290096E0,1.149357460E1
6.509323750E-1,-8.033638104E0,6.387459202E0,5.599162731E0,1.169143274E1
6.608743750E-1,-8.291040139E0,6.364597174E0,5.258001087E0,1.170025723E1
6.708173750E-1,-8.158662100E0,6.288567583E0,4.898853699E0,1.140651643E1
6.807593750E-1,-7.631011698E0,6.030273848E0,4.830791524E0,1.085970022E1
6.907023750E-1,-7.175586104E0,5.574876321E0,4.496367626E0,1.013832352E1
7.006443750E-1,-6.574357265E0,4.718215374E0,3.218546062E0,8.708775374E0
7.105863750E-1,-5.272553052E0,3.500361975E0,7.236405918E-1,6.369929776E0
7.205293750E-1,-3.506562655E0,1.764453456E0,-4.934742447E0,6.305629285E0
7.304713750E-1,-3.878776816E-1,-8.579724777E-1,-1.367134919E1,1.370373506E1
7.404133750E-1,4.461975473E0,-4.137543005E0,-1.160235520E1,1.310126457E1
7.503563750E-1,9.399249473E0,-7.551386070E0,-8.770294890E0,1.490930564E1
7.602983750E-1,1.368639758E1,-1.246179065E1,-1.145899200E1,2.176975431E1
7.702413750E-1,1.331010002E1,-1.774417346E1,-8.029059734E0,2.358983371E1
7.801833750E-1,1.186218324E1,-1.678537276E1,-6.088165376E0,2.143655494E1
7.901253750E-1,9.826402609E0,-9.882178030E0,-4.811946533E0,1.474348874E1
8.000683750E-1,7.118269942E0,-3.266287993E0,-3.390636927E0,8.534332018E0
8.100103750E-1,4.791951394E0,1.583563993E0,-2.257396832E0,5.528680995E0
8.199523750E-1,2.826831437E0,5.006545671E0,-1.389000231E-1,5.751153688E0
8.298953750E-1,2.025028775E0,6.945637332E0,2.898113089E0,7.793694821E0
8.398373750E-1,1.332929234E0,6.530874445E0,4.729765964E0,8.173108799E0
8.497803750E-1,3.983988690E-1,3.835536071E0,5.501934060E0,6.718730312E0
8.597223750E-1,6.442082137E-2,-4.220110953E-1,6.232578154E0,6.247181273E0
8.696643750E-1,2.509317979E-1,-5.144743443E0,7.079356138E0,8.754920627E0
8.796073750E-1,5.375023752E-1,-9.673613110E0,5.522794586E0,1.115208319E1
8.895493750E-1,1.192018061E0,-1.295534477E1,3.342935050E-1,1.301436196E1
8.994913750E-1,4.229177061E-1,-1.198693008E1,-4.153016492E0,1.269302557E1
9.094343750E-1,-3.235127596E0,-6.061626619E0,-4.803084201E0,8.383256268E0
9.193763750E-1,-8.993225250E0,6.105761987E-1,-2.938299540E0,9.480744057E0
9.293193750E-1,-1.412949608E1,5.887746797E0,-1.588837304E0,1.538936729E1
9.392613750E-1,-1.559319917E1,9.530719439E0,-9.006162214E-1,1.829736546E1
9.492033750E-1,-1.469809453E1,1.058760952E1,3.832176261E0,1.851531887E1
9.591463750E-1,-1.215520008E1,9.513976521E0,8.745216182E0,1.774101024E1
9.690883750E-1,-8.468514243E0,6.266242329E0,1.101931412E1,1.524489456E1
9.790303750E-1,-5.828278860E0,1.669530342E0,1.199528224E1,1.344034829E1
9.889733750E-1,-3.647325894E0,-3.122692655E0,1.021371282E1,1.128601458E1
9.989153750E-1,-1.293131184E0,-7.452576311E0,7.722705395E0,1.080986866E1
1.008857375E0,2.881009398E-1,-1.049066268E1,5.126841023E0,1.167996166E1
1.018800375E0,2.965324786E0,-1.125856348E1,1.929536726E0,1.180133529E1
1.028742375E0,6.701966314E0,-8.622797121E0,-1.931573896E0,1.109053472E1
1.038685375E0,7.935584391E0,-3.260838972E0,-4.915881668E0,9.887995904E0
1.048627375E0,5.216139700E0,9.375981063E-1,-3.590613749E0,6.401539711E0
1.058569375E0,2.432658935E0,2.570015586E0,-1.322663569E-1,3.541229165E0
1.068512375E0,7.874510369E-1,3.732399958E0,1.211544253E0,4.002340322E0
1.078454375E0,-1.218643869E0,4.044926033E0,1.067645445E0,4.357337064E0
1.088396375E0,-3.804083021E0,3.569504131E0,1.238192938E0,5.361485720E0
1.098339375E0,-6.217779436E0,3.348542529E0,1.218116523E0,7.166402588E0
1.108281375E0,-7.213340991E0,3.211689616E0,3.184176932E-1,7.902444449E0
1.118224375E0,-6.035727546E0,2.899029055E0,-7.851729617E-1,6.741726267E0
1.128166375E0,-3.775659413E0,1.948127949E0,-7.323292619E-1,4.311277381E0
1.138108375E0,-9.595821022E-1,9.062301332E-1,4.984832474E-1,1.410863712E0
1.148051375E0,8.470718059E-1,4.259287298E-2,8.618695738E-1,1.209199719E0
1.157993375E0,2.166386383E0,-4.534995210E-1,6.536565833E-1,2.307847201E0
1.167935375E0,3.418265021E0,-2.640204978E-1,5.960599011E-1,3.479874995E0
1.177878375E0,4.270671242E0,-1.205052674E-2,3.039983498E-1,4.281494256E0
1.187820375E0,4.881516997E0,6.124303508E-1,-1.793949151E-1,4.923054099E0
1.197763375E0,5.202867106E0,1.355206833E0,-1.361479580E0,5.546173305E0
1.207705417E0,4.925320244E0,1.788596025E0,-3.477169579E0,6.288764865E0
1.217647417E0,4.261746637E0,1.453730078E0,-5.803498360E0,7.345502620E0
1.227590417E0,3.557798590E0,4.231653357E-1,-5.959887990E0,6.953938780E0
1.237532417E0,2.844198837E0,-7.056975335E-1,-2.335127086E0,3.747038102E0
1.247474417E0,2.920333678E0,-1.330619876E0,1.398397145E0,3.500630317E0
1.257417417E0,4.048855654E0,-1.288189555E0,1.870204298E0,4.642233143E0
1.267359417E0,5.753390645E0,-9.672458285E-1,1.291209642E0,5.975306750E0
1.277302417E0,7.324116492E0,-4.202809042E-1,-2.929642153E-1,7.342012425E0
1.287244417E0,7.632743644E0,-3.264383554E-1,-2.551933656E0,8.054669634E0
