"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.223666664E-3,-1.935015860E0,-7.728972441E-1,-2.169326947E0,3.007928844E0
1.816866666E-2,-1.764773884E0,-8.646292403E-1,-2.378794677E0,3.085559058E0
2.811366666E-2,-1.830345145E0,-9.237410823E-1,-1.762668886E0,2.703786704E0
3.805866669E-2,-1.753793398E0,-9.838171300E-1,-1.518183351E0,2.519636504E0
4.800366668E-2,-1.745899072E0,-6.989209029E-1,-2.283948746E0,2.958559763E0
5.794866668E-2,-1.640319115E0,-2.810051975E-1,-2.544843907E0,3.040697491E0
6.789466666E-2,-1.575644232E0,3.873721898E-2,-3.111130956E0,3.487591023E0
7.783966669E-2,-1.518080440E0,2.224769077E-1,-3.881429697E0,4.173674723E0
8.778466668E-2,-1.135598569E0,9.555899888E-2,-2.536007010E0,2.780296241E0
9.772966668E-2,-8.814139652E-1,-5.213862795E-1,-1.132620875E0,1.526946062E0
1.076746667E-1,-1.233376294E0,-7.050666189E-1,1.469791210E-1,1.428264290E0
1.176196667E-1,-4.642750624E-1,-5.598849320E-1,3.449442083E-1,8.049900481E-1
1.275656667E-1,-3.621777070E-1,-4.073521256E-1,-5.920282459E-1,8.047396409E-1
1.375106667E-1,-7.214832616E-1,-1.773858118E-1,-1.379737657E0,1.567060887E0
1.474556667E-1,-6.516587359E-1,1.439371070E-1,-1.969537529E0,2.079532418E0
1.574006667E-1,-6.492926601E-1,3.363505554E-1,-1.677227032E0,1.829700296E0
1.673456667E-1,-7.453325924E-1,3.177261503E-1,-9.089239454E-1,1.217626100E0
1.772906667E-1,-6.925059226E-1,3.388093096E-1,-2.634071249E-1,8.147021017E-1
1.872356667E-1,-5.768658310E-1,5.225010511E-1,4.968554556E-1,9.233888018E-1
1.971816667E-1,-2.808443990E-1,8.630905455E-1,1.232120605E0,1.530333313E0
2.071266667E-1,2.931849477E-1,7.428973733E-1,2.353406652E0,2.485231737E0
2.170716667E-1,1.307343864E-1,7.656081051E-1,2.721185991E0,2.829858733E0
2.270166667E-1,-3.587067997E-1,5.063213669E-1,2.756646430E0,2.825620540E0
2.369616667E-1,-1.049905577E-1,3.395916671E-1,3.007986072E0,3.028914942E0
2.469076667E-1,-1.003388053E-1,6.986488612E-1,2.756143570E0,2.845084443E0
