"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.387541674E-3,-2.534741088E0,3.377351761E-1,3.304822898E0,4.178616017E0
1.433054169E-2,-3.273953692E0,1.864317102E-1,3.661959720E0,4.915636129E0
2.427354167E-2,-3.760814502E0,-1.107126430E-1,3.880946717E0,5.405342767E0
3.421654168E-2,-3.557437817E0,-1.073557565E-1,3.851884886E0,5.244416674E0
4.415954169E-2,-3.080488037E0,-8.254543573E-2,3.386251808E0,4.578528323E0
5.410254168E-2,-2.678649251E0,-2.083579284E-1,2.286556605E0,3.528018700E0
6.404554169E-2,-1.977748774E0,-2.234212695E-1,1.008059394E0,2.231051550E0
7.398854167E-2,-1.400460189E0,-1.882116392E-1,3.541494799E-1,1.456754686E0
8.393154168E-2,-9.470331734E-1,-7.588194877E-2,3.926896477E-1,1.028024835E0
9.387454169E-2,-7.036802441E-1,4.744693905E-2,9.564489448E-1,1.188365130E0
1.038175417E-1,-1.050708985E0,1.643845278E-1,1.785005250E0,2.077800613E0
1.137605417E-1,-9.429173183E-1,4.315645686E-1,1.908232396E0,2.171794632E0
1.237035417E-1,-8.056492531E-1,3.342528668E-1,1.977972722E0,2.161752018E0
1.336465417E-1,-9.370414513E-1,-2.351284185E-2,2.101674078E0,2.301224340E0
1.435885417E-1,-4.059452856E-1,1.289156100E-1,1.427106535E0,1.489309865E0
1.535315417E-1,3.315488219E-2,1.377820172E-1,6.113269812E-1,6.275378940E-1
1.634745417E-1,5.008783400E-1,-1.788283199E-2,-2.705506682E-1,5.695582246E-1
1.734175417E-1,1.425207945E0,1.869012599E-1,-1.353496522E0,1.974361315E0
1.833605417E-1,1.992312434E0,2.835958064E-2,-2.309586448E0,3.050295504E0
1.933035417E-1,1.759932389E0,-6.436006880E-1,-2.193529742E0,2.884988144E0
2.032465417E-1,-2.242641091E-2,-1.076230327E0,-6.347491729E-1,1.249672426E0
2.131895417E-1,-9.806634343E-1,-9.789917153E-1,5.780019450E-1,1.501403276E0
2.231325417E-1,-1.097799536E0,-1.130158027E0,1.018197296E0,1.875938891E0
2.330751667E-1,-1.291186838E0,-1.394893640E0,1.145437387E0,2.219215745E0
2.430181667E-1,-1.152517195E0,-1.417758884E0,9.533867580E-1,2.060893605E0
2.529611667E-1,-8.025385344E-1,-1.333262233E0,4.131186497E-1,1.610069346E0
2.629041667E-1,-3.171728575E-1,-1.355361492E0,-2.950832462E-1,1.422911634E0
2.728471667E-1,4.075684726E-1,-1.502495856E0,-8.988217109E-1,1.797633535E0
2.827901667E-1,1.450148073E0,-1.460579214E0,-1.454476767E0,2.520262633E0
2.927321667E-1,2.675195301E0,-1.246875176E0,-1.957215106E0,3.541476892E0
3.026751667E-1,3.025769209E0,-8.387447861E-1,-2.194674042E0,3.830844068E0
3.126181667E-1,2.138030895E0,-7.133158708E-1,-2.326046945E0,3.238902596E0
3.225611667E-1,1.899452802E0,-6.886952922E-1,-2.709255917E0,3.379687822E0
3.325041667E-1,2.229296576E0,-6.449376538E-1,-2.973810266E0,3.772168514E0
