"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.905725001E-2,-1.607052404E-1,1.852630346E-1,-9.871175909E-1,1.017128165E0
3.897825000E-2,-3.593640268E-2,8.827351436E-2,-8.438947213E-1,8.492596417E-1
4.889924999E-2,5.109589398E-2,-9.201690182E-2,-3.646575111E-1,3.795431478E-1
5.882024998E-2,3.023441724E-1,-2.318415159E-1,1.762917978E-1,4.198110111E-1
6.874124997E-2,5.039060283E-1,-3.343648410E-1,5.004251808E-1,7.849499944E-1
7.866591669E-2,5.382924072E-1,-4.054905184E-1,6.957859182E-1,9.686585157E-1
8.858691668E-2,4.117044275E-1,-4.214458157E-1,5.483337575E-1,8.048521733E-1
9.850791667E-2,2.420014916E-1,-3.533889033E-1,2.271426934E-1,4.848115532E-1
1.084289167E-1,1.427721955E-1,-2.638094133E-1,-2.870982885E-2,3.013362916E-1
1.183489166E-1,-1.348660290E-3,-1.530011684E-1,-2.397083598E-1,2.843787513E-1
1.282699166E-1,-9.526079088E-2,-2.710125983E-2,-4.834051055E-1,4.934466461E-1
1.381909166E-1,-1.228955361E-1,3.380480021E-2,-7.271030205E-1,7.381902734E-1
1.481119166E-1,-1.578954341E-1,9.621447176E-3,-8.222079831E-1,8.372869925E-1
1.580329166E-1,-3.856376132E-1,-5.684663057E-2,-5.584108490E-1,6.810070370E-1
1.679539166E-1,-4.348970430E-1,-8.041544124E-2,-3.886679327E-1,5.887825092E-1
1.778749167E-1,-1.697078329E-1,-1.047423434E-1,-4.829800129E-1,5.225336352E-1
1.877959167E-1,-1.229891646E-1,-2.439993390E-1,-3.964318657E-1,4.814771398E-1
1.977169167E-1,-1.317167187E-1,-3.551157323E-1,-3.622309166E-1,5.240875063E-1
2.076379167E-1,-1.473933962E-1,-3.821301609E-1,-4.551987219E-1,6.123349978E-1
2.175589167E-1,-9.686263561E-2,-3.048191527E-1,-7.469490552E-1,8.125453692E-1
2.274799166E-1,-3.225577046E-1,-1.899658039E-1,-8.128559464E-1,8.949107604E-1
2.374009166E-1,-3.446291895E-1,-7.204354405E-2,-1.110642945E0,1.165112571E0
2.473219166E-1,-1.778354627E-1,3.245204687E-2,-1.192929642E0,1.206548680E0
2.572429166E-1,-1.817104125E-1,-8.293325230E-2,-1.055069253E0,1.073809912E0
2.671639166E-1,-3.774947807E-1,-4.358688502E-1,-6.733770490E-1,8.865216377E-1
2.770849166E-1,-2.573774761E-1,-8.158754486E-1,-3.584799278E-1,9.275795230E-1
2.870059166E-1,-1.778910112E-1,-9.258804323E-1,-4.256077176E-1,1.034428207E0
2.969259167E-1,-4.571660176E-1,-8.471446037E-1,-8.363196534E-1,1.275180501E0
3.068469167E-1,-9.799363330E-1,-8.545878169E-1,-1.398728244E0,1.909721512E0
3.167679167E-1,-1.927831386E0,-1.001958994E0,-2.747148213E0,3.502467556E0
3.266889167E-1,-2.940005465E0,-9.759184188E-1,-3.063771433E0,4.356919128E0
3.366099166E-1,-2.879605774E0,-1.322083526E0,-1.685924181E0,3.589202503E0
3.465309166E-1,-2.182424710E0,-2.710804552E0,-8.417540556E-1,3.580501198E0
3.564519166E-1,-1.835624011E0,-2.403459987E0,-5.278474528E-1,3.069976930E0
3.663729166E-1,-2.382972513E0,-1.242459067E0,-8.697774214E-1,2.824672599E0
3.762939166E-1,-1.926827127E0,-1.916499774E0,-1.221923060E0,2.979719807E0
3.862149166E-1,-1.709189082E0,-1.891390953E0,-1.482386112E0,2.948924489E0
3.961359167E-1,-1.694030761E0,-1.223556480E0,-1.999361837E0,2.892106228E0
4.060569167E-1,-1.817466068E0,-1.720295284E0,-2.013509760E0,3.211980748E0
4.159779167E-1,-1.584828746E0,-2.416420925E0,-1.698577555E0,3.352005065E0
4.258989167E-1,-1.859184197E0,-3.356521932E0,-9.437259883E-1,3.951382556E0
4.358199167E-1,-1.949218454E0,-4.120427036E0,3.189264375E-1,4.569363808E0
4.457399166E-1,-1.627757834E0,-4.745226879E0,2.076974854E0,5.429603875E0
4.556609166E-1,-1.773116106E0,-4.270026294E0,3.301596989E0,5.681338571E0
4.655819166E-1,-1.600645464E0,-2.557851039E0,3.324275415E0,4.489484923E0
4.755029166E-1,-9.801097029E-1,-2.116295625E0,3.107015685E0,3.884954140E0
4.854239166E-1,-2.603706658E-1,-2.969776856E0,2.948370200E0,4.192881383E0
4.953449166E-1,3.891696239E-1,-3.456785016E0,3.530611961E0,4.956413669E0
5.052659167E-1,1.134827029E0,-2.831463309E0,4.318859023E0,5.287490909E0
5.151869167E-1,2.313288905E0,-1.014956185E0,4.717588845E0,5.351363015E0
5.251079167E-1,2.917203371E0,6.157761276E-2,4.715433853E0,5.545194653E0
5.350289167E-1,2.608668605E0,-5.461159086E-1,4.352997699E0,5.104114365E0
5.449499167E-1,2.573497603E0,-9.190413827E-1,4.053053663E0,4.888227794E0
5.548709166E-1,2.661214024E0,-4.601647621E-1,3.897657475E0,4.741892605E0
5.647919166E-1,4.434956952E0,-7.016366422E-2,2.547450011E0,5.115004170E0
5.747129166E-1,7.610171637E0,2.347029678E0,-2.958065176E0,8.495493525E0
5.846339166E-1,3.774711580E0,5.112928743E0,-1.506479272E0,6.531459840E0
5.945549166E-1,4.856827714E0,2.425116904E0,4.460744342E-1,5.446921134E0
6.044749166E-1,4.811876659E0,1.197136129E0,1.567813641E0,5.200512619E0
6.143959167E-1,5.361894999E0,2.878999418E0,2.305935154E0,6.508140485E0
6.243169167E-1,6.755377706E0,4.788618189E0,1.467437705E-1,8.281758620E0
6.342379167E-1,5.586325169E0,5.318953047E0,-1.323637716E0,7.826257549E0
6.441589167E-1,4.154798723E0,3.824822218E0,-3.527885404E0,6.658647975E0
6.540799167E-1,2.128638512E0,1.726100984E0,-5.246769170E0,5.919384533E0
6.640009166E-1,7.727972567E-1,2.581949168E-1,-5.337767633E0,5.399596607E0
6.739219166E-1,5.411071837E-2,4.867497128E-1,-3.092320463E0,3.130862357E0
6.838429166E-1,-1.101130110E-1,3.891743016E-1,-9.363503104E-1,1.019967360E0
6.937639166E-1,-4.450312909E-1,-1.110952263E0,1.973531762E-1,1.212936955E0
7.036849166E-1,-4.649916387E-1,-2.407957665E0,6.454443151E-1,2.535956566E0
7.136059166E-1,7.177109304E-1,-3.416014720E0,1.154896720E0,3.676690357E0
7.235269167E-1,1.866420711E0,-2.476579419E0,1.069348739E0,3.280316847E0
7.334479167E-1,1.540516791E0,-1.460805793E0,8.209256887E-2,2.124590488E0
7.433679167E-1,9.457286596E-1,-1.247219285E0,1.861320770E-1,1.576262602E0
7.532889167E-1,2.368537492E-1,-1.802491348E0,2.093698475E0,2.772841154E0
7.632099167E-1,8.893878132E-2,1.962006315E0,-1.734743169E-1,1.971667372E0
7.731309166E-1,-1.834558064E-1,4.713700154E0,-3.956674884E0,6.156939281E0
