"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.096279174E-2,-8.736987104E-1,5.159493922E-1,-1.398347005E0,1.727694290E0
2.088479174E-2,-7.919357783E-1,6.157351971E-1,-1.330398851E0,1.666209234E0
3.080679174E-2,-6.921403255E-1,6.716582599E-1,-9.577879572E-1,1.359242737E0
4.072779173E-2,-2.641208506E-1,3.152893963E-1,-2.550298190E-1,4.839498277E-1
5.064979172E-2,8.481673183E-2,-3.457664730E-1,2.712535036E-1,4.475788143E-1
6.057179172E-2,-4.443515887E-1,-5.039407461E-1,1.627847296E-1,6.913056329E-1
7.049379172E-2,-8.557519975E-1,-2.054091045E-1,6.221735662E-1,1.077777495E0
8.041479171E-2,-1.292573944E0,-7.474057227E-2,5.869329822E-1,1.421556850E0
9.033679171E-2,-1.348973993E0,-9.537378833E-2,1.921903771E-1,1.365929770E0
1.002587917E-1,-9.127108216E-1,-6.933754036E-1,-2.281028062E-1,1.168692168E0
1.101807917E-1,-4.249887168E-1,-1.239317065E0,-4.724023998E-1,1.392726184E0
1.201017917E-1,-9.253126676E-1,-1.096840666E0,-3.218880522E-1,1.470671580E0
1.300237917E-1,-1.375334703E0,-2.851464880E-1,3.149503309E-1,1.439460933E0
1.399457917E-1,-1.594958608E0,1.003220677E-1,1.223318791E0,2.012577040E0
1.498677917E-1,-1.725223463E0,-2.570046796E-1,2.070886148E0,2.707585057E0
1.597887917E-1,-1.800109193E0,4.943113321E-1,2.677244750E0,3.263797826E0
1.697107917E-1,-1.962319141E0,1.234281151E0,1.560820663E0,2.794692740E0
1.796327917E-1,-1.400758105E0,-6.571102412E-1,1.574366907E0,2.207384945E0
1.895547917E-1,-1.024277231E-1,-1.909254490E0,8.886978418E-1,2.108442078E0
1.994757917E-1,1.176751858E0,-2.271405007E0,-7.416719431E-1,2.663475720E0
2.093977918E-1,1.273563623E0,-2.571601936E0,-2.320958698E0,3.690792610E0
2.193197918E-1,-5.492234114E-1,-2.164472004E0,-1.649203666E0,2.776050818E0
2.292417918E-1,-2.724525044E0,5.924354314E-1,1.792940506E0,3.314913591E0
2.391627918E-1,-2.261134080E0,1.251636271E0,2.087182338E0,3.321995003E0
2.490847918E-1,-2.039449178E0,-1.193558363E0,3.413277054E-1,2.387559239E0
2.590067917E-1,-3.916201919E0,-3.311218290E0,-6.796540350E-1,5.173271078E0
2.689287917E-1,-3.730298468E0,-1.643693835E0,-6.108223665E-1,4.121887923E0
2.788497917E-1,-2.427379777E0,-6.233832090E-1,-1.281697977E-1,2.509423580E0
2.887717917E-1,-2.028466938E0,2.701702338E-1,-8.238797021E-1,2.206002683E0
2.986937917E-1,-2.533205609E0,2.220400037E0,-1.229042045E0,3.585784619E0
3.086147917E-1,-2.634633751E0,2.714357613E0,-1.168741465E0,3.959165172E0
3.185367917E-1,-2.678795432E0,1.277997128E0,-1.617245709E0,3.380045164E0
3.284587917E-1,-1.855336729E0,-7.760041621E-1,-1.333345263E0,2.412937303E0
3.383807917E-1,-9.248061526E-1,-7.540072292E-1,-9.871210992E-2,1.197304223E0
3.483017917E-1,-1.269463263E0,2.635867806E-1,7.038907439E-1,1.475288834E0
3.582237917E-1,-1.827691678E0,-6.343794827E-1,1.174497171E0,2.263258228E0
3.681457917E-1,-1.176884882E0,-1.563542542E0,1.902832493E0,2.729559452E0
3.780677917E-1,-4.959731108E-1,-3.820952238E-1,2.774796188E0,2.844552684E0
3.879887917E-1,-3.467515826E-2,2.069535441E0,2.285755682E0,3.083643680E0
3.979107917E-1,1.208142343E0,3.614389113E0,1.631391878E0,4.145462102E0
4.078327917E-1,3.188579081E0,3.305618996E0,1.894416010E0,4.968195399E0
4.177547917E-1,4.483764246E0,2.505186337E0,2.839142457E0,5.868631040E0
4.276757917E-1,4.568951746E0,2.031705126E0,3.818251702E0,6.291437978E0
4.375977917E-1,4.053027350E0,1.841339372E0,4.149652004E0,6.085817377E0
4.475197917E-1,3.169287947E0,8.888960624E-1,2.737128425E0,4.280933814E0
4.574407918E-1,1.766434493E0,-1.154620439E0,4.524844444E-1,2.158282036E0
4.673627918E-1,-1.133541226E-2,-1.810097114E0,-2.272046593E0,2.904957104E0
4.772847918E-1,-2.822024733E0,-4.454926363E-1,-4.693840671E0,5.494945634E0
4.872067918E-1,-5.683661429E0,8.369844818E-1,-6.319792299E0,8.540744989E0
4.971277918E-1,-6.873259327E0,5.272527909E-1,-7.559837050E0,1.023087609E1
5.070497917E-1,-6.555579516E0,6.364738092E-1,-6.582452735E0,9.311788534E0
5.169717917E-1,-5.510295578E0,8.787952897E-1,-3.798568804E0,6.750167663E0
5.268937917E-1,-3.291062645E0,-1.588784972E-1,-2.239464591E0,3.983909809E0
5.368147917E-1,-1.516844339E0,-1.209216768E0,-2.212772198E0,2.942682916E0
5.467367917E-1,7.654590011E-1,-1.946467339E0,-1.734172188E0,2.716986523E0
5.566587917E-1,2.979020720E0,-2.310716130E0,4.940827060E-1,3.802379676E0
5.665807917E-1,3.888172706E0,-2.441051152E0,3.108244185E0,5.544168074E0
5.765017917E-1,4.178629051E0,-2.576188492E0,4.925261772E0,6.953840048E0
5.864237917E-1,3.753220723E0,-2.811514948E0,5.517369540E0,7.241039203E0
5.963457917E-1,2.385698485E0,-3.143336250E0,3.248758332E0,5.111413772E0
6.062667917E-1,-2.482295072E-1,8.267085850E-2,1.985733147E0,2.002895027E0
6.161887917E-1,-2.686103867E0,4.173885205E0,1.217679151E0,5.110696058E0
6.261107917E-1,-3.056194611E0,4.599784698E0,7.703311935E-1,5.575998110E0
6.360327917E-1,-3.973908675E0,4.679282273E0,2.081418445E0,6.482278573E0
6.459537917E-1,-4.132638946E0,4.146082279E0,2.232714566E0,6.265278705E0
6.558757917E-1,-2.869336894E0,3.167284107E0,1.932459165E0,4.690328480E0
6.657977917E-1,-2.071424092E0,2.678138790E0,2.359165574E0,4.126607245E0
6.757197917E-1,-1.268050575E0,2.256320068E0,2.830483023E0,3.835435654E0
6.856407917E-1,-7.373909041E-1,2.595460330E0,2.718679290E0,3.830323322E0
6.955627917E-1,-1.793127617E-1,2.083804986E0,-3.096351241E0,3.736547510E0
7.054847917E-1,2.291627310E0,1.127050232E0,-9.988991457E0,1.031027392E1
7.154067917E-1,1.290118552E0,1.596561769E0,-6.229277401E0,6.558758442E0
7.253277918E-1,-2.829979286E-1,3.469286948E0,-1.551935526E0,3.811107927E0
7.352497918E-1,-9.172892645E-1,4.271745960E0,6.149727201E-1,4.412190452E0
7.451717918E-1,-1.188870504E0,5.343639407E0,3.214930143E0,6.348517230E0
7.550927917E-1,-6.019939479E-1,5.973931248E0,4.742697958E0,7.651368190E0
7.650147917E-1,-5.183932360E-1,6.484669163E0,3.660995807E0,7.464754249E0
7.749367917E-1,-1.056481064E0,6.811861809E0,1.177267874E0,6.993108979E0
7.848587917E-1,-1.528113093E0,6.579766524E0,-3.054351568E-1,6.761785842E0
7.947797917E-1,-1.464624025E0,5.984574934E0,-1.835410588E0,6.428762922E0
8.047017917E-1,-1.224922609E0,5.370438366E0,-3.090763350E0,6.316237941E0
8.146237917E-1,-6.373216555E-1,6.243355742E0,-1.041772100E0,6.361678939E0
8.245457917E-1,5.023547620E-2,6.985272684E0,6.200779241E-1,7.012920554E0
8.344660418E-1,6.415418833E-1,7.151587962E0,1.487951492E0,7.332856606E0
8.443880418E-1,7.156443782E-1,6.299627007E0,1.845321034E0,6.603230801E0
8.543100418E-1,8.139689639E-1,3.293561161E0,2.428980160E0,4.172533428E0
8.642310417E-1,-1.062418619E-1,-1.903899025E0,2.928407221E0,3.494522525E0
8.741530417E-1,-1.504023149E0,-9.907399410E0,4.593917018E0,1.102373450E1
8.840750417E-1,-3.591030656E0,-2.041504591E1,7.094113925E0,2.190881223E1
8.939970417E-1,-6.192716516E0,-2.962995139E1,9.395235944E0,3.169470327E1
9.039180417E-1,-7.703189144E0,-3.191533796E1,9.333461280E0,3.413270308E1
9.138400417E-1,-7.878298050E0,-2.519920501E1,7.755290174E0,2.751748606E1
9.237620417E-1,-6.201369810E0,-1.516166296E1,5.126936333E0,1.716445418E1
