"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.210091672E-2,-5.415916255E-1,3.280133030E-1,-9.383272541E-1,1.131977143E0
4.202091671E-2,-6.476703501E-1,4.516304585E-1,-6.815713370E-1,1.043065885E0
5.194191670E-2,-5.509889781E-1,3.908276019E-1,-4.730596268E-1,8.246941730E-1
6.186191668E-2,-5.262499934E-1,2.974159929E-1,-2.784701371E-1,6.655380873E-1
7.178291667E-2,-5.494565691E-1,4.136367130E-1,-1.505622947E-1,7.040361186E-1
8.170291665E-2,-6.321797602E-1,4.974316987E-1,-3.117577511E-1,8.627180533E-1
9.162391664E-2,-3.089294529E-1,6.150829402E-1,-1.109509170E-2,6.883948948E-1
1.015439166E-1,-2.758131623E-1,6.542779961E-1,-2.091619205E-1,7.402035570E-1
1.114649167E-1,-1.755142643E-1,1.231140026E-1,2.085099560E-1,2.990630642E-1
1.213849167E-1,4.153809375E-1,-9.274031934E-1,3.830394030E-1,1.085972924E0
1.313059167E-1,9.898763072E-1,1.605551863E-1,9.047917181E-1,1.350659515E0
1.412259167E-1,-2.878996494E-1,1.156123758E0,1.511455545E0,1.924579491E0
1.511469167E-1,-1.305037576E0,1.409965130E0,1.624183431E0,2.515769576E0
1.610669167E-1,-4.521284951E-1,9.022068103E-1,1.851462949E0,2.108628074E0
1.709869166E-1,1.819678362E-1,8.922149420E-2,1.812219946E0,1.823516904E0
1.809079166E-1,6.581068260E-1,-4.755359226E-1,1.768387463E0,1.945875954E0
1.908279167E-1,7.257110909E-1,-4.521160698E-1,2.111949974E0,2.278464005E0
2.007489167E-1,6.019680740E-1,-1.782953462E-1,2.716011205E0,2.787628322E0
2.106689167E-1,4.840862330E-1,-1.743696718E-1,2.547001530E0,2.598453590E0
2.205899167E-1,8.881930809E-1,-4.263430781E-1,2.210845687E0,2.420432610E0
2.305099167E-1,1.242180447E0,-7.675231413E-1,1.371116522E0,2.003013867E0
2.404309167E-1,1.261906906E0,-1.054853637E0,5.354956108E-1,1.729705404E0
2.503509166E-1,7.390398189E-1,-1.066030736E0,5.585523516E-1,1.412296751E0
2.602719166E-1,5.103585769E-1,-5.238339239E-1,7.946272516E-1,1.079953854E0
2.701919167E-1,9.896022190E-1,7.433755293E-2,3.078944957E-1,1.039056131E0
2.801129167E-1,1.239326713E0,1.957851722E-1,-2.157458854E-1,1.273109902E0
2.900329167E-1,1.415586497E0,1.010461722E-1,-4.325337446E-1,1.483637726E0
2.999529167E-1,1.696094243E0,2.431316122E-2,-4.307064897E-1,1.750095681E0
3.098739167E-1,1.981436028E0,-2.754605752E-1,-1.052480691E0,2.260460764E0
3.197939167E-1,2.146704070E0,-8.920693463E-1,-2.182364484E0,3.188548388E0
3.297149166E-1,1.474548212E0,-8.536472923E-1,-2.311598475E0,2.871670879E0
3.396349166E-1,-6.558237076E-3,-1.895457984E0,-9.482365304E-1,2.119423624E0
3.495559166E-1,-1.342580940E0,-1.733471107E0,-5.631231201E-1,2.263747625E0
3.594759167E-1,-3.399693972E-1,2.825509089E-1,-3.727050340E0,3.753174449E0
3.693969167E-1,1.126350321E0,8.432488963E-1,-7.873652437E0,7.998383364E0
3.793169167E-1,-4.671325967E-1,5.597475225E-1,-8.282062908E0,8.314090219E0
3.892379167E-1,-1.898416091E0,1.320239899E-1,-4.125410618E0,4.543173643E0
3.991579167E-1,-1.535290550E0,-7.129474962E-1,-2.459807850E0,2.985978209E0
4.090789167E-1,-9.475931905E-1,-8.779415962E-1,-2.221458383E0,2.569745444E0
4.189989166E-1,-1.237567871E0,-4.393568605E-2,-2.313692363E0,2.624247879E0
4.289199166E-1,1.033292907E0,-1.373750693E0,-3.541391888E0,3.936539305E0
4.388399167E-1,1.817946124E-1,-1.482557143E0,-3.484096776E0,3.790772389E0
4.487599167E-1,-9.297081658E-1,-1.867293701E0,-4.491275579E0,4.952039919E0
4.586770417E-1,-6.977877125E-1,-2.730547383E0,-6.251109735E0,6.857052546E0
4.685970417E-1,-3.912139201E-1,-2.670377488E0,-7.548267165E0,8.016252332E0
4.785180417E-1,-2.058573666E-1,-1.257296815E0,-7.466949352E0,7.574860075E0
4.884380416E-1,-3.335710084E-1,7.002442740E-1,-4.330239751E0,4.399157643E0
4.983590416E-1,-5.065142519E-1,1.586754380E0,-1.669602263E-1,1.673983831E0
5.082790416E-1,7.783609555E-1,5.659002551E-1,7.865849912E-2,9.655444243E-1
5.182000417E-1,1.767207056E0,-2.988893451E-1,3.971797246E-1,1.835785215E0
5.281200417E-1,1.543448293E0,-5.776442416E-1,1.517398070E0,2.240179101E0
5.380410417E-1,1.555361995E0,-4.139375523E-1,2.194834841E0,2.721726513E0
5.479610417E-1,2.073019797E0,6.686261863E-2,2.185986834E0,3.013373546E0
5.578820417E-1,2.362848443E0,1.196778864E-2,2.064721429E0,3.137876762E0
5.678020417E-1,2.467534946E0,6.868119040E-1,1.762325655E0,3.109056290E0
5.777220416E-1,2.302809233E0,1.683104946E0,1.345995129E0,3.153961875E0
5.876430416E-1,1.788623068E0,2.406378625E0,1.264779643E0,3.254150905E0
5.975630417E-1,1.019688556E0,2.698961309E0,1.388440068E0,3.201862383E0
6.074840417E-1,-1.293050053E0,3.743905232E0,2.451262729E0,4.658056869E0
6.174040417E-1,-3.714644303E0,4.333307493E0,3.949901762E0,6.941027305E0
6.273250417E-1,-4.248237814E0,3.061575511E0,6.527340388E0,8.368210184E0
6.372450417E-1,-4.116670492E0,2.101355404E0,9.757778517E0,1.079707887E1
6.471660417E-1,-3.072491678E0,1.546317814E0,1.310491538E1,1.354880478E1
6.570860416E-1,-9.905157734E-1,1.091332808E0,1.565715016E1,1.572636258E1
6.670070416E-1,1.373786945E0,7.536955726E-1,1.643955907E1,1.651406825E1
6.769270417E-1,3.168527517E0,6.586973217E-1,1.574018647E1,1.606944053E1
6.868470417E-1,3.715975714E0,1.057823292E0,1.431539193E1,1.482760640E1
6.967680417E-1,3.442414314E0,1.179154479E0,1.253934461E1,1.305663758E1
7.066880417E-1,2.730256777E0,8.147305638E-1,1.057945148E1,1.095640824E1
7.166090417E-1,1.826582608E0,3.417118675E-1,8.382374817E0,8.585882517E0
7.265290417E-1,6.237719026E-1,1.464978951E-1,5.782882247E0,5.818271230E0
7.364500416E-1,-3.181095815E-1,2.151453763E-2,3.215862190E0,3.231629032E0
7.463700416E-1,-7.243796799E-1,-2.169547972E-1,1.038369021E0,1.284525410E0
7.562910416E-1,-7.432429437E-1,-3.999431187E-1,-6.676333290E-1,1.076150005E0
7.662110417E-1,-5.354679827E-1,-4.811539274E-1,-2.179250842E0,2.295075008E0
7.761320417E-1,-4.945478520E-1,-7.991912958E-1,-3.847985378E0,3.961095275E0
7.860520417E-1,-4.436314675E-1,-1.286317862E0,-5.166807911E0,5.342969822E0
7.959720417E-1,-6.103376323E-1,-1.498319483E0,-5.980373125E0,6.195347933E0
8.058930417E-1,-4.250475544E-1,-1.103811935E0,-5.184022699E0,5.317250940E0
8.158130416E-1,-1.509213722E0,-9.644982219E-3,-6.221505867E0,6.401949261E0
8.257340416E-1,-2.127521987E0,-1.652637736E0,-7.820260341E0,8.271277597E0
8.356540417E-1,-2.589999615E0,-2.755455060E0,-8.432962003E0,9.242049488E0
8.455750417E-1,-3.308752812E0,-2.871780446E0,-9.724478624E0,1.066585452E1
8.554950417E-1,-3.834666590E0,-2.280918281E0,-9.334669899E0,1.034617408E1
8.654160417E-1,-3.841380071E0,-1.215052582E0,-8.306283245E0,9.231841364E0
8.753360417E-1,-3.521454929E0,-1.548876994E0,-8.085991150E0,8.954491478E0
8.852570417E-1,-3.048918335E0,-1.904512398E0,-8.099361978E0,8.861305487E0
8.951770416E-1,-3.603285835E0,-2.560596014E0,-8.926225514E0,9.960814358E0
9.050980416E-1,-4.339735922E0,-2.819422722E0,-8.862857484E0,1.026317179E1
9.150180416E-1,-4.500315374E0,-2.576821160E0,-8.972896235E0,1.036367274E1
9.249380417E-1,-4.537232355E0,-2.530764104E0,-9.220279065E0,1.058323157E1
9.348590417E-1,-4.714678685E0,-2.564954236E0,-1.000510521E1,1.135382384E1
9.447790417E-1,-4.889887286E0,-2.487339173E0,-1.007341940E1,1.147046783E1
9.547000417E-1,-4.805384203E0,-2.073969385E0,-9.617206190E0,1.094914249E1
9.646200417E-1,-4.268812412E0,-1.814251853E0,-9.186289201E0,1.029087841E1
9.745410417E-1,-3.912081094E0,-1.494242511E0,-9.131950441E0,1.004637537E1
9.844610416E-1,-3.906987292E0,-1.526440204E0,-8.979647430E0,9.911036140E0
9.943820416E-1,-4.016507103E0,-1.737058082E0,-8.370372237E0,9.445254442E0
1.004302042E0,-4.014097173E0,-1.710305170E0,-7.313963386E0,8.516582666E0
1.014223042E0,-3.921987739E0,-1.637940760E0,-5.847149579E0,7.228692548E0
1.024143042E0,-3.333961328E0,-1.370569223E0,-3.836359359E0,5.264162921E0
1.034064042E0,-2.725851485E0,-7.150954708E-1,-1.800453009E0,3.344137988E0
1.043984042E0,-1.664781380E0,-1.636078714E-1,-6.459079993E-1,1.793170857E0
1.053904042E0,-5.669258568E-1,4.610783896E-1,-3.807706833E-3,7.307617307E-1
1.063825042E0,2.408071978E-1,1.239482249E0,1.919016416E0,2.297156581E0
1.073745042E0,9.037991533E-1,1.703727198E0,4.655753662E0,5.039402885E0
1.083666042E0,1.082498104E0,2.370059668E0,7.012697879E0,7.481103964E0
1.093586042E0,6.449841392E-1,3.509085436E0,9.334665806E0,9.993281286E0
1.103507042E0,8.528574796E-1,4.634400508E0,1.158711853E1,1.250865099E1
1.113427042E0,1.947334189E0,4.980315061E0,1.437892894E1,1.534109664E1
1.123348042E0,3.296549672E0,4.990521376E0,1.848945606E1,1.943276945E1
1.133268042E0,5.585959718E0,4.239706142E0,2.357467309E1,2.459559443E1
1.143188042E0,8.685409691E0,2.267018426E0,2.838642169E1,2.977187684E1
1.153109042E0,1.094468026E1,7.305014223E-1,3.133619464E1,3.320055350E1
1.163029042E0,1.195180937E1,-2.908473770E-1,3.148908764E1,3.368223537E1
1.172950042E0,1.131253328E1,-1.322164217E0,2.849539041E1,3.068727426E1
1.182870042E0,9.307579165E0,-1.711239409E0,2.373633925E1,2.555333972E1
1.192791042E0,6.386341799E0,-1.263398092E0,1.863624105E1,1.974059312E1
1.202711042E0,3.501326766E0,-5.525943312E-1,1.324728806E1,1.371332529E1
1.212632042E0,1.088138912E0,-3.492761180E-2,7.992825124E0,8.066630008E0
1.222552042E0,-3.913841106E-1,2.496427792E-1,3.738822539E0,3.767531954E0
1.232473042E0,-6.738221683E-1,2.418905407E-1,5.721523905E-1,9.164636960E-1
1.242393042E0,-3.539176378E-1,1.279642680E-1,-1.840195949E0,1.878284771E0
1.252313042E0,3.147535720E-1,-4.199022970E-1,-3.997171823E0,4.031472477E0
1.262234042E0,9.621032023E-1,-1.313086707E0,-6.242159986E0,6.450922459E0
1.272154042E0,8.841285351E-1,-2.152874344E0,-8.631703600E0,8.939958515E0
1.282075042E0,4.898504913E-3,-2.787589019E0,-1.085742577E1,1.120956605E1
1.291995042E0,-1.520032825E0,-2.943574606E0,-1.293789902E1,1.335531213E1
1.301916042E0,-2.853892059E0,-2.635469318E0,-1.410104353E1,1.462634018E1
1.311836042E0,-4.521649525E0,-2.416054012E0,-1.494151412E1,1.579656531E1
1.321757042E0,-5.700651684E0,-3.110906715E0,-1.700733073E1,1.820506712E1
1.331677042E0,-6.537195286E0,-2.995815385E0,-1.702983900E1,1.848581209E1
1.341598042E0,-7.515192389E0,-2.775938149E0,-1.678276724E1,1.859691441E1
1.351518042E0,-7.852176783E0,-2.898284705E0,-1.618926082E1,1.822495269E1
1.361438042E0,-7.847825285E0,-3.023358694E0,-1.532917984E1,1.748464509E1
1.371359042E0,-7.673289406E0,-3.000652201E0,-1.420511227E1,1.642158636E1
1.381279042E0,-7.205639623E0,-2.986930541E0,-1.233356238E1,1.459314077E1
1.391200042E0,-6.739503685E0,-2.924520284E0,-1.071075422E1,1.298822485E1
1.401120042E0,-6.264368881E0,-2.670286271E0,-9.320396261E0,1.154307293E1
1.411041042E0,-5.671662358E0,-2.174566930E0,-8.118801046E0,1.013959692E1
1.420961042E0,-5.121006671E0,-1.613034837E0,-7.050853885E0,8.862343438E0
1.430882042E0,-4.486662710E0,-1.096509640E0,-6.001066421E0,7.572666232E0
1.440802042E0,-3.819803553E0,-7.490844584E-1,-5.048866648E0,6.375192635E0
1.450723042E0,-3.308146455E0,-5.880702657E-1,-4.168708080E0,5.354230726E0
1.460642583E0,-3.001886841E0,-5.184319738E-1,-3.223974617E0,4.435550546E0
1.470562583E0,-2.786398818E0,-4.722141194E-1,-2.422159383E0,3.722077461E0
1.480483583E0,-2.800033063E0,-3.796363235E-1,-2.159730497E0,3.556507375E0
1.490403583E0,-2.799650070E0,-3.889570776E-1,-1.977363442E0,3.449535376E0
1.500324583E0,-2.641092878E0,-4.614531961E-1,-1.527695017E0,3.085800173E0
1.510244583E0,-2.378702291E0,-5.044582978E-1,-1.249938825E0,2.734053736E0
1.520165583E0,-2.124698366E0,-4.249171615E-1,-1.003662288E0,2.387935453E0
1.530085583E0,-1.914622818E0,-2.242138231E-1,-3.845374596E-1,1.965685995E0
1.540006583E0,-1.617546841E0,7.316036224E-2,6.962993038E-1,1.762567145E0
1.549926583E0,-9.080796075E-1,5.540356699E-1,2.316695493E0,2.549243438E0
1.559847583E0,7.277035296E-2,1.405992240E0,3.815918663E0,4.067351096E0
