"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.885791689E-3,-4.866779383E-1,7.264504713E-1,-6.856059158E-1,1.111144084E0
1.980779169E-2,-4.845359570E-1,6.847937375E-1,-9.384512150E-1,1.258732791E0
2.972979168E-2,-3.566067722E-1,6.292147833E-1,-1.053448405E0,1.277823609E0
3.965179168E-2,-2.482928033E-1,6.445935452E-1,-9.668242443E-1,1.188233678E0
4.957379168E-2,-2.726815398E-1,6.178226531E-1,-5.671664697E-1,8.818944705E-1
5.949579168E-2,-6.107125850E-1,6.639905137E-1,-4.075801671E-2,9.030584032E-1
6.941779167E-2,-8.139932299E-1,3.058666813E-1,-1.424405122E-1,8.811519191E-1
7.933979167E-2,-4.437264848E-1,4.669516253E-1,-3.736780107E-1,7.446960920E-1
8.926179167E-2,-3.080791947E-1,4.544926706E-1,-3.141907775E-1,6.326074790E-1
9.918379167E-2,-4.025745119E-1,3.249727508E-1,-2.340283746E-1,5.678404763E-1
1.091057917E-1,-3.355506563E-1,1.949996719E-1,-3.792597628E-1,5.426389985E-1
1.190277917E-1,-4.257862039E-1,1.245813614E-1,-5.885772192E-1,7.370465047E-1
1.289497917E-1,-5.494949415E-1,1.262305686E-1,-7.910750681E-1,9.714312176E-1
1.388717917E-1,-6.198501751E-1,8.080325782E-2,-1.025057834E0,1.200619411E0
1.487937917E-1,-6.629339218E-1,-5.137071311E-2,-1.247640284E0,1.413763281E0
1.587157917E-1,-6.867807676E-1,-2.178719330E-1,-1.391864197E0,1.567297657E0
1.686377916E-1,-7.134037252E-1,-3.773246267E-1,-1.436117095E0,1.647346672E0
1.785597916E-1,-7.045860509E-1,-5.021843156E-1,-1.431353953E0,1.672544388E0
1.884817916E-1,-5.527438737E-1,-6.109352177E-1,-1.314835317E0,1.551631252E0
1.984037916E-1,-3.114633438E-1,-7.536189741E-1,-1.266601635E0,1.506396586E0
2.083257916E-1,-1.943991628E-1,-8.203456450E-1,-1.177002411E0,1.447788896E0
2.182477916E-1,-2.283498511E-1,-7.336904937E-1,-1.098994122E0,1.340982280E0
2.281697916E-1,-2.761771515E-1,-5.817201895E-1,-1.114933047E0,1.287535591E0
2.380917916E-1,-3.701350366E-1,-4.444228882E-1,-1.257796898E0,1.384400479E0
2.480137916E-1,-4.225067199E-1,-3.764019361E-1,-1.488577729E0,1.592499294E0
2.579357916E-1,-4.207049735E-1,-3.628893131E-1,-1.765665584E0,1.851014933E0
2.678577916E-1,-4.451410724E-1,-3.141480929E-1,-1.981471696E0,2.055010871E0
2.777797916E-1,-3.941442887E-1,-3.007252246E-1,-2.304837924E0,2.357554504E0
2.877017916E-1,-1.679467978E-1,-3.075819620E-1,-2.794132345E0,2.816023500E0
2.976237916E-1,9.697256327E-2,-2.626908410E-1,-3.278907453E0,3.290842482E0
3.075457916E-1,1.522275817E-1,-2.048835129E-1,-3.553183967E0,3.562340073E0
3.174677916E-1,6.414208460E-1,7.116412282E-2,-3.703301874E0,3.759112901E0
3.273897916E-1,4.682823054E-1,2.280133438E-1,-3.685415241E0,3.722037601E0
3.373117916E-1,2.652207119E-1,2.304375994E-1,-3.371896893E0,3.390152234E0
3.472337916E-1,3.875186625E-1,2.149456939E-1,-3.046310477E0,3.078372929E0
3.571557916E-1,3.755741896E-1,2.956016019E-1,-2.464732375E0,2.510645726E0
3.670777916E-1,1.582495560E-1,3.790416616E-1,-1.383772820E0,1.443448205E0
3.769997916E-1,-2.269324129E-1,6.741816258E-1,8.293398321E-2,7.161684370E-1
3.869217916E-1,-1.076648988E0,1.230919586E0,1.504313756E0,2.222002688E0
3.968437916E-1,-2.396266450E0,2.041303915E0,3.066814908E0,4.394811515E0
4.067657917E-1,-3.562021157E0,3.056042583E0,4.601468697E0,6.572739547E0
4.166877917E-1,-3.723087097E0,3.471745117E0,5.777304003E0,7.700106054E0
4.266097917E-1,-2.759585533E0,2.684752575E0,6.488582704E0,7.544860119E0
4.365317917E-1,-1.428970774E0,1.333107281E0,6.926847889E0,7.197246291E0
4.464537917E-1,-1.332773405E-1,8.868852049E-2,7.485140040E0,7.486851803E0
4.563757917E-1,7.870798849E-1,-6.326716572E-1,7.974991116E0,8.038672245E0
4.662977917E-1,1.023821733E0,-5.902246723E-1,7.929520243E0,8.017098440E0
4.762197917E-1,8.116208683E-1,1.915904528E-1,6.814488963E0,6.865325568E0
4.861417917E-1,4.304840031E-1,1.389807147E0,5.487239422E0,5.676854486E0
4.960637917E-1,-6.942881539E-2,2.587319251E0,4.798725686E0,5.452229771E0
5.059857917E-1,-5.265844542E-1,3.102121566E0,5.466912162E0,6.307739530E0
5.159077917E-1,-8.789711447E-1,2.709749422E0,7.773542842E0,8.279088146E0
5.258297917E-1,-2.197245063E0,1.281654122E0,1.071285220E1,1.101070958E1
5.357517917E-1,-3.801611111E0,3.562240720E-2,1.324812538E1,1.378282780E1
5.456737917E-1,-4.911655301E0,-3.135078228E-1,1.459259322E1,1.540020850E1
5.555957917E-1,-5.089326457E0,-5.134241259E-1,1.409403739E1,1.499355655E1
5.655177917E-1,-3.964221008E0,-7.313615477E-1,1.208600063E1,1.274053959E1
5.754397917E-1,-1.914602061E0,-8.260349858E-1,9.474325383E0,9.701076039E0
5.853617917E-1,3.151536678E-1,-9.321005541E-1,6.985981366E0,7.054932241E0
5.952876667E-1,2.009859928E0,-1.566341019E0,4.643227172E0,5.296462941E0
6.052096667E-1,3.266099128E0,-2.470051587E0,2.056889668E0,4.582505151E0
6.151316667E-1,4.318863993E0,-3.033640730E0,-6.597980601E-1,5.318918664E0
6.250536666E-1,4.850143177E0,-3.252166382E0,-3.050647942E0,6.588393422E0
6.349756666E-1,4.894341988E0,-3.241433818E0,-4.774207726E0,7.566672723E0
