"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.305583308E-3,4.528706530E-1,-7.551211238E-1,-2.151216951E0,2.324442753E0
1.422458328E-2,5.526998734E-1,-8.680881608E-1,-1.334382559E0,1.685120476E0
2.414458327E-2,3.709374207E-1,-1.117714568E0,-5.036888042E-1,1.280852387E0
3.406458325E-2,2.375947376E-1,-1.502092398E0,-2.133289388E-1,1.535656885E0
4.398358334E-2,2.214811268E-1,-1.665949507E0,1.008942908E-1,1.683633365E0
5.390358332E-2,4.298001713E-1,-1.361510131E0,2.313433331E-1,1.446360177E0
6.382258330E-2,8.558249415E-1,-1.041948102E0,2.903604501E-1,1.379275668E0
7.374258328E-2,9.885288164E-1,-6.882886183E-1,3.971791399E-1,1.268338169E0
8.366158325E-2,1.073942896E0,-5.112811214E-1,3.255109870E-1,1.233174413E0
9.358158323E-2,8.394622394E-1,-2.099933946E-1,2.231069452E-1,8.936278790E-1
1.035005833E-1,2.085372917E-1,3.116840762E-1,-1.779366195E-2,3.754349209E-1
1.134205833E-1,-4.532717720E-1,6.328394723E-1,1.386023998E-2,7.785455691E-1
1.233395833E-1,-9.796486500E-1,1.036148833E0,6.444485343E-1,1.564809827E0
1.332595833E-1,-7.202095918E-1,1.097966766E0,1.323262324E0,1.864203866E0
1.431795832E-1,5.418440790E-1,2.472348958E-1,1.858885989E0,1.951967525E0
1.530985833E-1,1.236044086E0,-7.506333858E-1,2.003387060E0,2.470792419E0
1.630185833E-1,2.438735654E0,-1.622854943E0,2.119536152E0,3.615732741E0
1.729375833E-1,4.737685140E0,-1.415748904E0,1.811564473E0,5.266096399E0
1.828575833E-1,5.160747857E0,-9.074469388E-2,1.197381127E0,5.298610630E0
1.927765833E-1,4.029912430E0,4.339493555E-1,6.435428005E-1,4.103980211E0
2.026965832E-1,2.477071462E0,1.076829082E-1,-6.344228983E-4,2.479411027E0
2.126155833E-1,1.524229957E0,-5.138661754E-1,5.324381018E-1,1.694351126E0
2.225355833E-1,9.499190667E-1,-1.236306626E0,1.302542716E0,2.031604743E0
2.324545833E-1,1.891141387E-1,-2.060306781E0,1.940568668E0,2.836623864E0
2.423745833E-1,-8.973227772E-1,-3.564538676E0,1.131511073E0,3.845964306E0
2.522945832E-1,-1.019255935E0,-4.537704810E0,3.323674321E-1,4.662629699E0
