"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.068416681E-3,-6.234934290E-1,1.498577052E-1,-1.740828366E0,1.855177832E0
1.199041668E-2,-2.586008598E-1,-2.470787752E-1,-1.779973721E0,1.815551920E0
2.191141667E-2,1.702754514E-1,-3.595856363E-1,-1.799775317E0,1.843227265E0
3.183341667E-2,4.215149590E-1,2.045689327E-1,-2.098287370E0,2.149961208E0
4.175541666E-2,6.502399821E-1,1.703074649E-1,-2.349416512E0,2.443680546E0
5.167641665E-2,5.873615831E-1,-3.897403121E-2,-2.306179276E0,2.380120891E0
6.159841665E-2,2.040214140E-1,5.376985493E-1,-2.543330063E0,2.607541424E0
7.152041665E-2,-2.118088089E-1,9.528824356E-1,-2.275587813E0,2.476115466E0
8.144141664E-2,-7.475333382E-1,1.195575507E0,-1.932230539E0,2.392012069E0
9.136341664E-2,-1.134467279E0,1.344180154E0,-1.592850541E0,2.372974745E0
1.012854166E-1,-1.125922451E0,1.203023982E0,-1.450412952E0,2.195145963E0
1.112064166E-1,-7.813188426E-1,7.777100873E-1,-1.585922760E0,1.931435506E0
1.211284166E-1,-3.761548913E-1,3.686739635E-1,-1.803913976E0,1.879233521E0
1.310504166E-1,-1.002879345E-1,2.497117764E-1,-1.988335742E0,2.006462725E0
1.409714166E-1,-1.795593680E-1,3.796456790E-1,-2.691790284E0,2.724354481E0
1.508934166E-1,-2.334202641E-1,3.571233737E-1,-2.812541134E0,2.844716112E0
1.608154166E-1,-8.805596870E-1,5.028456357E-1,-1.825671465E0,2.088376258E0
1.707364166E-1,-1.382216145E0,5.882822272E-1,-3.274526135E0,3.602654418E0
1.806584166E-1,-1.335996391E0,1.545757358E0,-1.136726789E0,2.338033353E0
1.905804166E-1,-1.301985184E0,1.930248771E0,1.383635995E0,2.708408076E0
2.005014167E-1,-4.782560474E-1,8.852788286E-1,2.593750019E0,2.782083143E0
2.104234167E-1,2.684138033E-1,6.948860317E-2,3.496366573E0,3.507342847E0
2.203454167E-1,6.255862936E-3,4.265975051E-1,4.049487446E0,4.071900434E0
