"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.327691670E-2,-1.247181278E0,9.380699766E-1,1.072886889E0,1.893811685E0
2.320091671E-2,-1.331065434E0,1.026109164E0,1.581543195E0,2.307794203E0
3.312391660E-2,-1.323088954E0,9.652478349E-1,2.019070462E0,2.599791010E0
4.304791661E-2,-1.293440794E0,6.707142270E-1,2.201228771E0,2.639745208E0
5.297091661E-2,-1.167041679E0,2.113300681E-1,2.185764640E0,2.486807942E0
6.289491663E-2,-1.127080345E0,-1.543062669E-1,1.898732425E0,2.213437451E0
7.281891664E-2,-1.196122368E0,-3.003556806E-1,1.646947811E0,2.057512903E0
8.274191665E-2,-1.315344610E0,-1.437900496E-1,1.526916168E0,2.020465294E0
9.266591666E-2,-1.330852887E0,1.833850551E-1,1.617852066E0,2.102913406E0
1.025889167E-1,-1.154191399E0,5.027938879E-1,2.048983063E0,2.404847412E0
1.125129167E-1,-7.602257431E-1,4.774210650E-1,2.491127291E0,2.647940565E0
1.224369167E-1,-4.541235651E-1,3.670531154E-2,2.518389934E0,2.559270082E0
1.323599167E-1,-4.502135320E-1,-5.046597344E-1,1.960573162E0,2.073938475E0
1.422839167E-1,-4.099497512E-1,-4.742384255E-1,1.500204332E0,1.625907107E0
1.522069167E-1,-3.297946572E-1,-6.771227753E-1,1.291919494E0,1.495431626E0
1.621309166E-1,-3.344056253E-1,-9.143671185E-1,3.172477019E-1,1.023982643E0
1.720539166E-1,-3.219462320E-1,-9.404515475E-1,-3.857519263E-1,1.066256554E0
1.819779166E-1,-2.176783901E-1,-1.126378387E0,-1.461815023E0,1.858229080E0
1.919019166E-1,4.243470579E-3,-8.769425994E-1,-2.127836859E0,2.301463888E0
2.018249166E-1,6.979017332E-2,-5.531895778E-1,-2.070998999E0,2.144743862E0
2.117489167E-1,2.623160344E-1,-6.874238151E-1,-2.415556122E0,2.525128231E0
2.216719167E-1,8.599944448E-1,-5.053011739E-1,-2.645811288E0,2.827585029E0
2.315959167E-1,1.112730986E0,-9.901616514E-2,-2.902231575E0,3.109810696E0
2.415189167E-1,1.009110723E0,-4.715574771E-2,-3.359197910E0,3.507811101E0
