"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.964958294E-3,-6.811246097E-2,9.914626569E-2,4.428159564E0,4.429793044E0
1.488395827E-2,-2.006469128E-1,3.068314719E-1,3.926359702E0,3.943438252E0
2.480295824E-2,-3.287029821E-1,4.514734608E-1,3.122203243E0,3.171754566E0
3.472295823E-2,-1.990529618E-1,2.737607896E-2,2.060107976E0,2.069883186E0
4.464195832E-2,-3.299294356E-1,6.811278257E-1,1.442348472E0,1.628851639E0
5.456095829E-2,-5.991209185E-1,9.823605886E-1,1.292420016E0,1.730412580E0
6.447995827E-2,-9.112452900E-1,1.386111999E0,1.328272219E0,2.125083890E0
7.439895824E-2,-1.084452682E0,1.620829760E0,1.565086792E0,2.500524624E0
8.431895834E-2,-1.080401146E0,1.478324344E0,1.752935026E0,2.534855165E0
9.423795831E-2,-7.786973897E-1,7.251450804E-1,1.861721889E0,2.144344516E0
1.041569583E-1,-4.190804708E-1,-4.709927823E-1,3.282692356E0,3.342683315E0
1.140759583E-1,-7.982016546E-1,-7.508014932E-2,4.330287114E0,4.403878904E0
1.239959582E-1,-7.620480278E-1,-1.073594110E-1,5.153438253E0,5.210582411E0
1.339142083E-1,-5.324737698E-1,-6.999595146E-1,5.171044804E0,5.245300373E0
1.438332082E-1,1.644880235E-2,-1.221692826E0,4.975171850E0,5.123000963E0
1.537522083E-1,4.952650130E-1,-7.286341871E-1,5.960021891E0,6.024786814E0
1.636712083E-1,7.024964753E-1,1.701164802E-1,5.945298602E0,5.989074752E0
1.735912083E-1,1.512133237E0,8.136683439E-1,4.712875696E0,5.015954588E0
1.835102083E-1,2.904792363E0,1.238205509E0,2.869022314E0,4.266410739E0
1.934292082E-1,3.829409066E0,1.536341441E0,1.123223230E0,4.276254113E0
2.033482083E-1,4.327428995E0,1.791519633E0,-5.368585968E-1,4.714276345E0
2.132682083E-1,4.272127491E0,1.720350832E0,-1.651453090E0,4.892645255E0
2.231872083E-1,3.605993973E0,1.535292012E0,-1.576383612E0,4.224369703E0
2.331062083E-1,2.488165677E0,1.315597648E0,-7.807406992E-1,2.920842626E0
2.430252082E-1,1.238739653E0,1.350702576E0,1.727033615E-1,1.840842152E0
2.529452083E-1,-3.154815504E-1,1.523567175E0,1.149024653E-1,1.560124393E0
2.628642083E-1,-1.812212052E0,-6.716550440E-1,8.239773506E-1,2.100993026E0
2.727832083E-1,-2.645370408E0,-2.298039659E0,6.072678441E-1,3.556366841E0
2.827022083E-1,-2.523004557E0,-2.284672193E0,-1.783579114E0,3.842711735E0
2.926212082E-1,-2.291655377E0,-2.335567528E0,-3.215297933E0,4.587450364E0
3.025412083E-1,-1.119671631E0,-2.690628735E0,-3.335830683E0,4.429550078E0
3.124602083E-1,3.136533453E-1,-3.349175198E0,-2.980272608E0,4.494149280E0
3.223792083E-1,1.104230377E0,-3.975683890E0,-2.207663632E0,4.679654456E0
3.322982083E-1,1.310131525E0,-3.845944700E0,-2.301012091E0,4.669303148E0
3.422172082E-1,1.131258839E0,-2.900464547E0,-3.497127880E0,4.682130344E0
3.521372083E-1,3.773471020E-1,-2.131357614E0,-2.969928299E0,3.674989825E0
3.620562083E-1,1.795419360E-1,-3.029714910E0,-3.826013296E0,4.883624216E0
3.719752083E-1,4.896482507E-1,-2.869565228E0,-5.669326395E0,6.373022971E0
3.818942083E-1,1.391934071E0,-2.973460017E0,-3.625474264E0,4.891115269E0
3.918142082E-1,3.434267681E0,-5.162153528E0,-1.705793604E0,6.430533055E0
4.017332083E-1,2.464216066E0,-7.088622220E0,5.566958606E-2,7.504933371E0
4.116522083E-1,4.947222452E-1,-7.954797757E0,1.369703250E0,8.087004664E0
4.215712083E-1,-2.607244223E0,-8.353661479E0,-1.164197593E0,8.828178668E0
4.314902083E-1,-1.304055098E0,-8.699918388E0,-2.951294392E-1,8.802058909E0
4.414102082E-1,6.026538062E-1,-8.871265195E0,2.539375591E-1,8.895337096E0
4.513292083E-1,7.273638064E-1,-8.308300534E0,-3.302257140E0,8.970051176E0
4.612482083E-1,5.327371868E-1,-7.098695219E0,-6.596339287E0,9.704997409E0
4.711672083E-1,5.797414917E-1,-5.315012024E0,-9.203719166E0,1.064396071E1
4.810872083E-1,5.338800251E-1,-4.673813665E0,-9.265430680E0,1.039123514E1
4.910062082E-1,2.583194625E-1,-4.632051389E0,-7.391516177E0,8.726805854E0
5.009252083E-1,2.982296330E-1,-3.369664134E0,-3.739675063E0,5.042692423E0
5.108442083E-1,2.406228644E-1,-2.435908818E0,-8.552757418E-1,2.592884056E0
5.207632083E-1,7.968117714E-2,-1.078230367E0,2.001641082E0,2.274971831E0
5.306832083E-1,4.304778636E-2,5.214470905E-1,4.842897307E0,4.871079399E0
5.406022082E-1,1.393765127E0,2.388054328E0,5.815632502E0,6.439484925E0
5.505212083E-1,3.208704028E0,4.510445968E0,6.728434321E0,8.712733944E0
5.604402083E-1,4.809244827E0,5.482396173E0,5.409689555E0,9.080211710E0
5.703602083E-1,7.545703161E0,8.620732470E0,4.481528270E0,1.230198196E1
5.802792083E-1,1.026354747E1,1.137227194E1,2.193830289E0,1.547520168E1
5.901982082E-1,1.230001457E1,1.282918174E1,2.081690633E-1,1.777418343E1
6.001172083E-1,1.409279778E1,1.437716425E1,-1.194687899E0,2.016772373E1
6.100362083E-1,1.425174732E1,1.536742297E1,-3.234389677E0,2.120686839E1
6.199562083E-1,1.321142358E1,1.392744671E1,-3.601945068E0,1.953175602E1
6.298752083E-1,1.134279847E1,1.122580387E1,-1.373288763E0,1.601760505E1
6.397942082E-1,8.057906973E0,7.359833039E0,1.672367411E0,1.104055342E1
6.497132083E-1,3.778138633E0,3.061560016E0,4.169789815E0,6.405827687E0
6.596322083E-1,-1.322476459E-1,8.976265401E-2,4.600129099E0,4.602905007E0
6.695522083E-1,-2.739947952E0,-1.572249046E0,2.798998983E0,4.220625208E0
6.794712082E-1,-4.008710133E0,-2.735431563E0,-2.048849747E0,5.267839031E0
6.893902083E-1,-2.482734198E0,-1.913796460E0,-7.194836308E0,7.848073361E0
6.993092083E-1,-3.911722952E-1,-1.262179971E0,-8.945511385E0,9.042581931E0
7.092292083E-1,4.327752346E-1,-2.082051991E0,-7.551051024E0,7.844782117E0
7.191482083E-1,-8.355747181E-1,-2.375375226E0,-7.149837306E0,7.580287994E0
7.290672082E-1,-1.792103770E0,-2.932971265E0,-3.733593374E0,5.074807962E0
7.389862083E-1,-2.674020596E0,-3.525621362E0,2.205183828E-1,4.430465043E0
7.489052083E-1,-2.927486869E0,-3.836971270E0,2.919087344E0,5.640354494E0
7.588252083E-1,-2.789600753E0,-3.172367091E0,3.760728548E0,5.655869919E0
7.687442083E-1,-2.693528076E0,-1.649170630E0,3.817528693E0,4.954632437E0
7.786632082E-1,-2.173063903E0,-1.064142963E0,3.864081008E0,4.559136871E0
7.885822083E-1,-1.531804440E0,-1.634007338E-1,2.928489667E0,3.308953969E0
7.985012083E-1,-1.510172081E0,1.158424930E0,1.014600674E0,2.156845511E0
8.084212083E-1,-1.845330389E0,2.494563700E0,-6.789216712E-2,3.103659396E0
8.183402083E-1,-1.288003614E0,3.653406121E0,-3.117185748E-1,3.886321920E0
8.282592082E-1,-4.549648333E-1,3.990285557E0,-6.588251565E-1,4.069818474E0
8.381782083E-1,4.218719316E-1,3.544586806E0,-1.020247915E0,3.712543247E0
8.480982083E-1,6.110708731E-1,2.325455499E0,-3.551990916E-1,2.430497333E0
8.580172083E-1,-3.395185769E-1,1.915974110E0,3.046685138E-1,1.969531050E0
8.679362083E-1,-1.344046252E0,3.536220610E-1,-1.712017234E-1,1.400292441E0
8.778552082E-1,-3.252847583E0,-1.134906259E0,-1.113307448E0,3.620563918E0
8.877742083E-1,-4.550868062E0,-2.031649285E0,-1.578440809E0,5.227759971E0
8.976942083E-1,-4.944348253E0,-2.369883228E0,-2.566327747E0,6.053838804E0
9.076132083E-1,-4.488757768E0,-1.054491549E0,-2.590390794E0,5.288763862E0
9.175322083E-1,-4.153353876E0,2.080857405E-1,-3.455808531E0,5.407056565E0
9.274512082E-1,-4.522792071E0,1.939243982E0,-3.896408510E0,6.276807677E0
9.373702083E-1,-4.454876661E0,2.786610487E0,-4.973799509E0,7.235316553E0
9.472902083E-1,-3.487295787E0,1.886499465E0,-4.771574140E0,6.203872332E0
9.572092083E-1,-4.675152385E0,7.777627122E-1,-1.072609146E0,4.859264866E0
9.671282083E-1,-2.621396239E0,-2.194353030E0,1.014714695E0,3.566027114E0
9.770472082E-1,-5.508322728E-1,-5.454766325E0,8.645903563E-1,5.550262007E0
9.869672083E-1,-3.663784636E0,-1.841835508E0,1.186081967E0,4.268778084E0
9.968862083E-1,-4.538372562E0,2.477424341E-1,1.174762927E0,4.694493557E0
1.006805208E0,-3.811151428E0,-5.116059342E0,-1.291937621E0,6.509073760E0
1.016724208E0,-9.807903188E-1,-6.947844656E0,-7.802553803E-1,7.059978291E0
1.026643208E0,4.076681092E0,-6.594471102E0,-4.612663776E-1,7.766540060E0
1.036563208E0,5.928963820E0,-7.022030035E0,-1.715046823E0,9.348951995E0
1.046482208E0,5.623172568E0,-8.218222423E0,-1.088780791E0,1.001721983E1
1.056401208E0,5.627135226E0,-9.072616405E0,2.924577733E-1,1.068000706E1
1.066320208E0,5.234225723E0,-8.734212892E0,1.675645945E0,1.031946622E1
1.076239208E0,4.230169918E0,-7.591758755E0,2.836701829E0,9.141991894E0
1.086159208E0,4.335789344E0,-6.133639757E0,4.025238458E0,8.521921764E0
1.096078208E0,5.806233103E0,-4.174937704E0,2.419113130E0,7.549473889E0
1.105997208E0,7.943700911E0,-2.251577976E0,6.697558683E-1,8.283752801E0
1.115916208E0,9.410318252E0,-1.899317147E0,-5.028678551E-1,9.613239376E0
1.125836208E0,9.940313387E0,-1.234379969E0,-4.011879909E-1,1.002469331E1
1.135758958E0,1.086719764E1,1.398703101E0,-9.057375053E-1,1.099421281E1
1.145677958E0,1.115377319E1,3.230470288E0,-2.756178653E-1,1.161544488E1
1.155596958E0,1.196439257E1,4.847897261E0,-3.288105416E0,1.332142765E1
1.165515958E0,1.173290832E1,6.615792389E0,-2.517827140E0,1.370289386E1
1.175435958E0,1.132840262E1,9.364574899E0,-2.761793734E0,1.495511530E1
1.185354958E0,9.519728428E0,9.703020512E0,-1.765474673E0,1.370732422E1
1.195273958E0,7.160259383E0,8.009434140E0,-8.369359499E-1,1.077593669E1
1.205192958E0,3.493189781E0,6.326438829E0,-2.969900233E0,7.813226638E0
1.215111958E0,7.831877589E-2,4.460691133E0,-3.634799404E0,5.754621266E0
1.225031958E0,-2.697919335E0,2.361101003E0,-2.399012010E0,4.313794769E0
1.234950958E0,-5.074190354E0,3.217968357E-1,-1.314748778E0,5.251621207E0
1.244869958E0,-7.132115564E0,-3.081073344E-1,-6.851936871E-1,7.171575346E0
1.254788958E0,-8.367884247E0,-3.272324073E-1,-9.578198245E-1,8.428878136E0
1.264707958E0,-7.317630760E0,2.029346943E0,-7.636618593E-1,7.632112970E0
1.274627958E0,-6.538964653E0,2.758557301E0,7.412117672E-1,7.135621346E0
1.284546958E0,-7.492887601E0,2.750011595E0,1.063621099E0,8.052156122E0
1.294465958E0,-8.640217731E0,3.519509853E0,-7.033413979E-1,9.356014171E0
1.304384958E0,-7.306163201E0,3.545443423E0,-1.680239664E0,8.292972634E0
1.314303958E0,-4.296118909E0,2.515837040E0,-1.063750030E0,5.090936831E0
1.324223958E0,-8.411792743E-1,3.089353586E0,6.791482508E-2,3.202545952E0
1.334142958E0,1.035151298E0,4.691682463E0,-3.015488634E0,5.672441648E0
1.344061958E0,2.853664602E0,7.033266630E0,-4.295404964E0,8.721281153E0
