"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.037370834E-2,1.596219707E-1,4.387826639E-1,-6.423792046E-1,7.941413238E-1
4.033370834E-2,4.347415070E-1,4.375529945E-2,4.009728134E-1,5.930378582E-1
5.029270834E-2,4.699667421E-1,-2.624201149E-1,9.032854754E-1,1.051502594E0
6.025270834E-2,3.113544394E-1,-2.288933498E-1,9.349189121E-1,1.011635866E0
7.021170834E-2,1.352019516E-1,-7.135181844E-2,5.408867437E-1,5.620757237E-1
8.017170834E-2,4.461571723E-2,3.037102282E-2,-1.154012328E-1,1.273986099E-1
9.013070834E-2,-2.049478322E-2,1.795808566E-1,-7.163488215E-1,7.387996713E-1
1.000907083E-1,-4.707388669E-2,3.263997638E-1,-1.230319662E0,1.273750065E0
1.100497083E-1,-7.822112739E-3,3.552025634E-1,-1.623389964E0,1.661813774E0
1.200097083E-1,6.452241674E-2,3.371153712E-1,-1.779878411E0,1.812671254E0
1.299697083E-1,1.002046117E-1,1.862256324E-1,-1.729127503E0,1.742011157E0
1.399287083E-1,2.147116591E-1,-6.513798237E-3,-1.710238073E0,1.723675663E0
1.498887083E-1,3.149811749E-1,-1.256174880E-1,-1.606190963E0,1.641597486E0
1.598477083E-1,3.622677541E-1,-1.040751761E-1,-1.281701485E0,1.335974650E0
1.698077083E-1,5.603198187E-1,-2.781637430E-2,-6.238324213E-1,8.389868532E-1
1.797667083E-1,8.614479165E-1,-5.201566100E-2,-2.914924711E-1,9.109149261E-1
1.897267083E-1,9.055854777E-1,-2.140788442E-1,-2.984430563E-1,9.772323504E-1
1.996857083E-1,7.620658618E-1,-3.466416550E-1,-6.182091540E-1,1.040714837E0
2.096457083E-1,4.627935241E-1,-4.299440128E-1,-1.272914874E0,1.421035530E0
2.196057083E-1,-9.182262808E-2,-6.874553901E-1,-2.037872769E0,2.152661546E0
2.295647083E-1,-4.487467580E-1,-3.705175906E-1,-3.058003739E0,3.112883520E0
2.395247083E-1,-4.043608363E-1,1.703668141E-1,-3.671837422E0,3.697961951E0
2.494837083E-1,-2.489074919E-1,8.061439276E-2,-3.051942515E0,3.063136748E0
2.594437083E-1,3.440988471E-1,-3.227008152E-1,-2.671806840E0,2.713133174E0
2.694027083E-1,9.449296376E-1,-4.814465806E-1,-2.408023739E0,2.631209068E0
2.793627083E-1,1.328704328E0,-4.215816173E-1,-1.487992423E0,2.038947694E0
2.893217083E-1,1.503233921E0,-2.290453774E-1,3.349039543E-1,1.557027509E0
2.992817083E-1,1.604305675E0,-1.338050517E-1,1.200868406E0,2.008428595E0
3.092407083E-1,1.599894243E0,-3.715227270E-1,9.853277582E-1,1.915348928E0
3.192007083E-1,8.245682117E-1,-6.616723850E-1,6.225893033E-1,1.226923193E0
3.291597083E-1,1.546997845E-2,-4.541593793E-1,6.559798282E-1,7.980035069E-1
3.391197083E-1,-1.336164790E-1,-2.698779461E-1,1.210065492E0,1.246974725E0
3.490797083E-1,4.856564297E-1,-4.921928859E-1,1.485499170E0,1.638543191E0
3.590387083E-1,9.919881754E-1,-6.262923449E-1,2.531875368E0,2.790461524E0
3.689987083E-1,1.474405248E0,2.723884481E-1,4.300665704E0,4.554535300E0
3.789577083E-1,1.234598801E0,2.432803069E0,7.435961448E0,7.920624194E0
3.889177083E-1,7.516781370E-1,4.601226914E0,1.169396470E1,1.258908732E1
3.988767083E-1,6.192962976E-1,5.015108918E0,1.553596545E1,1.633710708E1
4.088367083E-1,1.275105533E0,3.876965640E0,1.678589200E1,1.727492190E1
4.187957083E-1,1.338743120E0,2.588412973E0,1.627123060E1,1.653012583E1
4.287557083E-1,5.260641982E-1,1.567823873E0,1.573406678E1,1.582073553E1
4.387147083E-1,-1.114876622E0,2.497702485E-1,1.427728328E1,1.432292404E1
4.486747083E-1,-1.214734201E0,1.689135179E0,1.351911810E1,1.367827880E1
4.586347083E-1,-4.913122952E-1,4.024870376E0,1.305215595E1,1.366747029E1
4.685937083E-1,-2.217215936E-1,4.015498166E0,1.293803467E1,1.354865776E1
4.785537083E-1,1.252208129E0,4.960926279E0,1.189636841E1,1.294999598E1
4.885127083E-1,1.879298180E0,5.812158086E0,9.428239968E0,1.123408439E1
4.984727083E-1,1.779712643E0,5.359812806E0,8.213882620E0,9.968090995E0
5.084317083E-1,1.625750484E0,4.758987131E0,7.100912483E0,8.701378123E0
