Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.102035052,0.797579527,0.153264046,-1.128346443,1.390247699
0.106802448,0.714592576,0.244407892,-1.554290771,1.728061796
0.111569062,0.665964842,0.280142784,-1.951896667,2.081319233
0.116336458,0.642183423,0.275915384,-2.361365318,2.462635786
0.121104583,0.591709375,0.245729446,-2.718574524,2.793053954
0.125871979,0.554188132,0.159308195,-2.982234001,3.037469872
0.130638593,0.533050895,0.03736186,-3.150785446,3.195776602
0.135405989,0.392003536,-0.037149668,-3.203661442,3.227769122
0.140174166,0.194565892,-0.076109648,-3.152351856,3.159267445
0.144941562,0.066682339,-0.148023605,-2.963345528,2.967789453
0.149708177,0.006577611,-0.268569708,-2.511685371,2.526011947
0.154475573,0.015713453,-0.402619839,-1.721955776,1.768468643
0.15924375,0.088797569,-0.518764138,-0.660695076,0.844700671
0.164011146,0.213261843,-0.627809048,0.350344181,0.749910567
0.16877776,0.37164557,-0.744652391,1.034620285,1.327805237
0.173545156,0.525997996,-0.851569533,1.488651276,1.793858184
0.178313333,0.639443874,-0.943093061,1.855559349,2.1774787
0.183080729,0.729315877,-1.022925138,2.111122131,2.45664693
0.187847343,0.76080513,-1.085192919,2.235939026,2.599209773
0.192614739,0.7202003,-1.124092817,2.215294838,2.58646561
0.197382916,0.619336128,-1.152373195,2.062343597,2.442294481
0.202150312,0.442566842,-1.182216525,1.875705719,2.2609231
0.206916927,0.223988652,-1.202043295,1.716361046,2.107361915
0.211684323,0.071852148,-1.200332642,1.587857246,1.991796128
0.2164525,0.093261838,-1.175146818,1.444753647,1.864666435
0.221219896,0.171120495,-1.176078081,1.245210648,1.721334202
0.22598651,0.197401285,-1.214099407,1.146875381,1.681763294
0.230753906,0.210513517,-1.250778913,1.266402245,1.792355566
0.235522083,0.216498628,-1.274469852,1.575444221,2.037932667
0.240289479,0.287719369,-1.253211498,2.212532997,2.559027893
0.245056093,0.385658085,-1.183429241,3.151871681,3.388736051
0.249823489,0.506304681,-1.111948967,3.972473145,4.156118119
0.254591614,0.422144473,-1.166940689,4.077752113,4.262395902
0.25935901,0.099999636,-1.284496307,4.143421173,4.339109322
0.264125677,-0.121377081,-1.282855749,4.266050339,4.456415237
0.268893073,-0.215631872,-1.150146246,3.675168991,3.856967799
