Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.103065322,1.917181015,0.351255655,-0.630279541,2.048466714
0.108038655,2.119704723,0.3910532,-0.372991562,2.187508497
0.113011989,2.257039547,0.408114195,-0.236821175,2.305833685
0.117985322,2.274123669,0.37257123,-0.186228752,2.311953488
0.122958655,2.203140736,0.308170795,-0.256464958,2.239324142
0.127931989,2.073983669,0.223577499,-0.41182518,2.126263186
0.132905322,1.944843292,0.108618021,-0.532841682,2.019438923
0.137878655,1.872172356,-0.038058281,-0.546711922,1.950736191
0.142851989,1.798604965,-0.19289875,-0.479227066,1.871322615
0.147661676,1.713998795,-0.332877159,-0.402590752,1.791836595
0.15263501,1.9248209,-0.851516724,-0.292086601,2.124930778
0.157608343,1.854709148,-1.115785241,-0.902303696,2.345010595
0.162581676,1.576349735,-1.20661509,-1.225445747,2.332920004
0.16755501,1.146763802,-1.006038785,-0.107235909,1.529274597
0.172528343,0.255638599,-0.525119782,1.755478859,1.850083215
0.177501676,-0.414040089,-0.392531395,2.043373108,2.121528635
0.18247501,-0.36388731,-0.757608175,1.306078911,1.553134329
0.187448343,-0.690394402,-0.890310049,1.088999748,1.566913164
0.192421676,-1.251095772,-0.704607248,0.74907589,1.619514339
0.19739501,-1.175684929,-0.567340374,0.06333065,1.306951003
0.202368343,-0.851095676,-0.449738026,-0.523571968,1.095790011
0.207341676,-0.678403378,-0.265676498,-0.816547394,1.094333035
0.21231501,-0.552609444,-0.054344893,-1.141692162,1.26956353
0.217288343,-0.441738606,0.159779072,-1.462169647,1.53577421
0.222261676,-0.370147705,0.373512268,-1.609496117,1.693221334
0.22723501,-0.319243908,0.558330774,-1.648062706,1.769112944
0.232208343,-0.303164482,0.716941357,-1.682778358,1.854091857
0.237181676,-0.328691006,0.845582962,-1.788186073,2.005157788
0.24215501,-0.409161568,0.903534174,-2.007117271,2.2388182
0.247128343,-0.461274624,0.860551596,-2.262699127,2.464372266
0.252101676,-0.417631626,0.71250701,-2.531273842,2.662598294
0.25707501,-0.386064529,0.502117634,-2.82689476,2.896981519
0.262048343,-0.464725971,0.282593966,-3.109573841,3.156783022
0.266860322,-0.626525879,0.078800917,-3.311380863,3.371051391
0.271833655,-1.375987053,-0.510019064,-3.451109409,3.750148793
0.276806989,-1.512985706,-0.606829882,-3.441819191,3.808344469
0.281780322,-1.457997084,-0.505860567,-3.359034061,3.696587647
0.286753655,-1.327116966,-0.333606958,-3.187560558,3.468872347
0.291726989,-1.161308765,-0.148205996,-2.952363014,3.176011718
0.296700322,-1.072514057,-0.093151569,-2.64081192,2.851815424
0.301673655,-1.088682175,-0.201011658,-2.284997463,2.539064389
0.306646989,-1.07243371,-0.316645145,-2.014111042,2.303697354
0.311620322,-0.942579746,-0.341586947,-1.898919106,2.147331365
0.316593655,-0.760008574,-0.303585053,-1.894072533,2.063319577
0.321566989,-0.53531003,-0.222883463,-1.947997093,2.032468091
0.326540322,-0.267174482,-0.09338665,-2.024197102,2.04388776
0.331513655,0.041030645,0.100313187,-2.093900681,2.096703677
0.336486989,0.360081196,0.330929756,-2.128801823,2.184255061
0.341460322,0.663639784,0.56663847,-2.07273531,2.248939435
0.346433655,0.982267618,0.806451559,-1.931557178,2.312169311
0.351406989,1.301324368,1.025924206,-1.76994133,2.424594378
0.356380322,1.585177898,1.172632217,-1.616203308,2.549503563
0.361353655,1.833904028,1.21624732,-1.479356766,2.651595363
0.366326989,2.061377048,1.153159618,-1.41310215,2.752437125
0.371300322,2.243171692,1.005725145,-1.430225372,2.844089823
0.376273655,2.373564482,0.838456154,-1.507879257,2.934368233
0.381246989,2.456810713,0.719635963,-1.597753525,3.01771621
0.386059801,2.387470722,0.611978769,-1.620685577,2.949772229
0.391033135,1.695351362,0.191378832,-1.572580338,2.320312698
0.396006468,1.331712961,-0.020231485,-1.567450523,2.056883533
0.400979801,1.07459116,-0.200049162,-1.526836395,1.877763352
0.405953135,0.884745598,-0.386071444,-1.472517967,1.76072005
0.410926468,0.723932743,-0.563707113,-1.45682621,1.721681426
0.415899801,0.547475576,-0.744513512,-1.441671371,1.712438676
0.420873135,0.30406332,-0.916187406,-1.446163177,1.738747193
0.425846468,0.042031288,-1.044994593,-1.534096718,1.85667258
0.430819801,-0.134670496,-1.121231437,-1.713999748,2.052581597
0.435793135,-0.201699019,-1.144885302,-1.944559097,2.265558415
0.440766468,-0.176869154,-1.139566779,-2.126030445,2.418656775
0.445739801,-0.077052832,-1.092417121,-2.10880518,2.376209501
0.450713135,0.076677322,-1.028434396,-1.927289009,2.185863592
0.455686468,0.239108563,-1.02568388,-1.786996365,2.07426043
0.460659801,0.343057632,-1.096304536,-1.68457222,2.038959474
0.465633135,0.377347231,-1.174234509,-1.479671478,1.926303533
0.470606468,0.378591299,-1.243579865,-1.218292236,1.78158868
0.475579801,0.370642662,-1.300414085,-1.019140244,1.693251196
0.480553135,0.357558966,-1.340961933,-0.928390503,1.669711426
0.485526468,0.328722954,-1.380253077,-0.939553261,1.7017396
0.490499801,0.309322834,-1.394956589,-1.036881447,1.76541996
0.495473135,0.334038973,-1.402016401,-1.200214386,1.875565674
0.500446468,0.409075499,-1.415561199,-1.378976345,2.018101096
0.505258551,0.51297617,-1.427656174,-1.532226562,2.156169042
0.510231885,0.758185387,-1.493063569,-1.831102848,2.481334629
0.515205218,0.787280083,-1.578606606,-1.995537758,2.663452588
0.520178551,0.726679802,-1.73991704,-2.093849182,2.817725898
0.525151885,0.621494293,-1.970266461,-2.023322105,2.891718767
0.530125218,0.576998472,-2.234760523,-1.914140224,2.998502064
0.535098551,0.57867837,-2.511586428,-2.017235756,3.272945941
0.540071885,0.535163641,-2.773008108,-2.31957674,3.6546423
0.545045218,0.452142239,-2.984889507,-2.505123615,3.922963459
0.550018551,0.445544243,-3.163258314,-2.4532938,4.027823644
0.554991885,0.515054464,-3.338078976,-2.260791779,4.064385786
0.559965218,0.561056852,-3.46287632,-1.990353107,4.033336422
