Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.097614181,1.105422497,0.028196812,1.223169327,1.648907868
0.102381212,1.104738474,0.010360718,1.260400772,1.676056248
0.107147462,1.075152159,0.030221939,1.241951942,1.642957747
0.111914493,0.981763601,0.033607721,1.251342773,1.590863911
0.116682254,0.811503172,0.04164505,1.284176826,1.519665039
0.121449285,0.59916091,0.042930603,1.277498245,1.411679354
0.126215535,0.408991337,0.021993876,1.17596817,1.245254505
0.130982566,0.254603386,-0.01275897,0.937476158,0.971517999
0.135750326,0.112661839,-0.042007208,0.633071899,0.64438911
0.140517358,0.009127855,-0.0653615,0.300653458,0.307811541
0.145283608,-0.02603817,-0.098365545,-0.092371941,0.137427589
0.150050639,-0.037111521,-0.121382237,-0.51317215,0.528636517
0.154818451,-0.045843124,-0.120129347,-0.914013863,0.923013539
0.159585483,-0.031578779,-0.096956253,-1.292494774,1.296510885
0.164351733,0.007350445,-0.067875147,-1.646142483,1.647557628
0.169118712,0.049291134,-0.018676519,-1.907423973,1.908152154
0.173886524,0.084787846,0.031671524,-2.089152813,2.091112513
0.178653556,0.086554766,0.067306757,-2.180477142,2.183232121
0.183419806,0.099988937,0.118965864,-2.207602501,2.213065626
0.188186837,0.122791767,0.155966044,-2.18409729,2.193099222
0.192954597,0.115442276,0.169271946,-2.09500885,2.105004036
0.197721629,0.078924179,0.166186333,-1.967426777,1.97600988
0.202487879,0.021236897,0.153833151,-1.790434361,1.797156321
0.20725491,-0.008085251,0.113378048,-1.602128983,1.606156042
0.212022722,-0.056936741,0.014846563,-1.460407734,1.461592612
0.216789754,-0.178957462,-0.147687435,-1.365872383,1.385440262
0.221556004,-0.243844032,-0.249402523,-1.256416798,1.303934316
0.226322983,-0.264007568,-0.221759319,-1.123141289,1.174871715
0.231090795,-0.350750923,-0.191483021,-1.073858261,1.145802567
0.235857826,-0.507934332,-0.27780509,-1.181148529,1.315402905
0.240624076,-0.621366262,-0.410159349,-1.214787483,1.424793091
0.245391108,-0.598290682,-0.468198776,-1.14371109,1.37303929
0.25015892,-0.542445421,-0.467756987,-1.129252911,1.337256808
0.254925899,-0.522855043,-0.459475517,-1.151185989,1.345259949
0.259692149,-0.536807776,-0.462522984,-1.159267902,1.358672944
0.264459181,-0.5415802,-0.48396349,-1.120759964,1.335527113
0.269226993,-0.497644663,-0.507285118,-1.083295345,1.295576013
0.273994024,-0.450487614,-0.497461081,-1.049071312,1.245374335
0.278760274,-0.43757081,-0.476460695,-0.994456291,1.18635
0.283527306,-0.467708349,-0.451524258,-0.976130962,1.172798751
0.288295066,-0.505175352,-0.439103127,-1.052081585,1.246952025
0.293062097,-0.49637568,-0.450518847,-1.208806992,1.38223384
0.297828347,-0.447122335,-0.464067459,-1.376756668,1.520110494
0.302595379,-0.412583351,-0.484214544,-1.53230381,1.659109313
0.307363191,-0.402163744,-0.501354694,-1.66866827,1.788168337
0.312130222,-0.387248755,-0.50121069,-1.762795925,1.87313193
0.316896472,-0.344406366,-0.486318588,-1.810761452,1.906299701
0.321663504,-0.288270474,-0.466243982,-1.80629158,1.887636774
0.326431264,-0.242657542,-0.424531221,-1.729015827,1.796831982
0.331198295,-0.209561825,-0.373313427,-1.587133408,1.643858731
0.335964545,-0.160083771,-0.350484371,-1.386359692,1.438909067
0.340731576,-0.131596804,-0.343918324,-1.141729355,1.199643052
0.345499389,-0.118378878,-0.332475901,-0.87503624,0.943526472
0.35026642,-0.110341549,-0.332878828,-0.619538784,0.711907211
0.35503267,-0.149636507,-0.342652798,-0.400930405,0.548221865
0.359799701,-0.212030888,-0.350023508,-0.218502998,0.463914986
0.364567462,-0.283153057,-0.355120659,-0.052721977,0.457237294
0.369334493,-0.35349679,-0.379371643,0.113306046,0.530774042
0.374100743,-0.418722272,-0.434388638,0.263228416,0.658263647
0.378867774,-0.44608748,-0.512747526,0.399760246,0.788487362
0.383635587,-0.445935488,-0.592989683,0.511445999,0.901150506
0.388402618,-0.44715786,-0.67752552,0.629420281,1.027210237
0.393168868,-0.412117481,-0.742819786,0.741906166,1.127850527
0.397935899,-0.357939124,-0.782100678,0.837240219,1.20032207
0.40270366,-0.296883345,-0.795848846,0.925213814,1.255999884
0.407470691,-0.217213988,-0.777359009,1.027238846,1.306402921
0.412236941,-0.147300243,-0.743792057,1.147910118,1.375725854
0.417003972,-0.081960678,-0.711910486,1.272773743,1.460646122
0.421771785,-0.039658785,-0.681807041,1.39938736,1.557150809
0.426538816,-0.045795679,-0.665285349,1.520583153,1.660383981
0.431305066,-0.07824707,-0.664535046,1.603260994,1.737289626
0.436072097,-0.127041817,-0.657925129,1.645418167,1.776627717
0.440839858,-0.203684211,-0.668922424,1.659235001,1.800556929
0.445606889,-0.298062921,-0.694850683,1.661474228,1.825419291
0.450373139,-0.367134213,-0.70461154,1.65213871,1.83325592
0.45514017,-0.406178594,-0.707638264,1.633576393,1.826007885
0.459907983,-0.420111656,-0.70143199,1.605771065,1.801943771
0.464675014,-0.427996635,-0.692960024,1.55449295,1.754942463
0.469441264,-0.439389586,-0.670298576,1.482319832,1.685121798
0.474208295,-0.413949251,-0.633486271,1.408361435,1.598793536
0.478976108,-0.380594492,-0.601547718,1.342098236,1.519190409
0.483743139,-0.372473836,-0.56739521,1.283433914,1.451852849
0.488509389,-0.360898733,-0.533468485,1.23466301,1.392562123
0.49327642,-0.357950926,-0.48788023,1.172017097,1.319007225
0.498044233,-0.373098254,-0.447519302,1.10754776,1.251454304
0.502811212,-0.382512569,-0.419481516,1.060245514,1.202664192
0.507577462,-0.386405587,-0.394234419,1.006284714,1.147753885
0.512344493,-0.387247086,-0.378859997,0.936250687,1.081693372
0.517112306,-0.397170305,-0.363782883,0.859827995,1.014586822
0.521879337,-0.430379868,-0.346590757,0.786554337,0.961259438
0.526645587,-0.460715175,-0.334357023,0.704545975,0.905780394
0.531412618,-0.466916561,-0.331772804,0.632849693,0.853570737
0.536180431,-0.465770364,-0.329194784,0.568956375,0.805619386
0.540947462,-0.466740966,-0.326560974,0.515113831,0.768004855
0.545713712,-0.481666446,-0.323845625,0.471214294,0.747610504
0.550480743,-0.503255844,-0.311525106,0.420532227,0.726059013
0.555248504,-0.519785523,-0.289696932,0.367915154,0.699616225
0.560015535,-0.538645387,-0.270270824,0.339511871,0.691703319
0.564781785,-0.548109531,-0.24860692,0.32568264,0.684323492
0.569548816,-0.531688452,-0.222384214,0.335803032,0.66701651
0.574316629,-0.510904908,-0.210659027,0.364912033,0.662240019
0.57908366,-0.511714697,-0.196825743,0.412843704,0.686317877
0.58384991,-0.528912544,-0.195229769,0.496017456,0.750930395
0.588616941,-0.557226419,-0.20817709,0.578463554,0.829734335
0.593384754,-0.565631032,-0.211859465,0.650701523,0.887826204
0.598151785,-0.547270536,-0.19686842,0.693861961,0.905376516
0.602918035,-0.507216454,-0.170561075,0.689243317,0.87259152
0.607685066,-0.421833634,-0.149702787,0.672851563,0.808135982
0.612452879,-0.305498838,-0.105655432,0.680324554,0.753215846
0.61721991,-0.188898206,-0.060043812,0.709021568,0.736206069
0.62198616,-0.090479732,-0.046094894,0.730161667,0.737188837
0.626753191,-0.009809375,-0.051481485,0.700955391,0.70291182
0.631521004,0.045909405,-0.049612761,0.600399971,0.604193036
0.636287983,0.069450617,-0.061677694,0.445682526,0.455258652
0.641054233,0.077389121,-0.077895164,0.25861454,0.280959451
0.645821264,0.07185185,-0.081285715,0.063182831,0.125547305
0.650589076,0.059900403,-0.083660364,-0.102560997,0.145278605
0.655356108,0.022339225,-0.065925837,-0.248333931,0.257905018
0.660122358,-0.009943962,-0.042521238,-0.357624054,0.36028031
0.664889389,-0.022570491,-0.018330574,-0.402206421,0.40325605
0.669657201,-0.020211458,0.011137962,-0.401556969,0.402219538
0.674424233,-0.003032565,0.024325132,-0.379721642,0.380512068
0.679190483,0.028523445,0.032922506,-0.369984627,0.372540068
0.683957514,0.040880203,0.036668539,-0.369767189,0.373822882
0.688725326,0.033990502,0.025814772,-0.355138779,0.357694435
0.693492358,0.036654472,-0.014134645,-0.32614708,0.328504575
0.698258608,0.082674026,-0.068949223,-0.261551857,0.28283982
0.703025639,0.163144708,-0.114838839,-0.197395325,0.280658278
0.707793451,0.211145163,-0.146967053,-0.245404244,0.355534579
0.712560483,0.237339258,-0.167426109,-0.585310936,0.653414354
0.717326733,0.233263135,-0.178453565,-0.751717567,0.807054314
0.722093764,0.149231315,-0.172773242,-0.612736702,0.653885957
0.726861524,0.018960953,-0.167247295,-0.562720299,0.587354501
0.731628556,-0.095450282,-0.15715313,-0.54634285,0.57645327
0.736394858,-0.122622013,-0.118840694,-0.572885513,0.59779351
0.741161837,-0.087048888,-0.064628363,-0.641981125,0.651071501
0.745929649,-0.046486616,-0.008972883,-0.741396904,0.742907052
0.750696681,-0.037138462,0.038576603,-0.858970642,0.860638126
0.755462931,-0.083160281,0.056756973,-1.034966469,1.03985219
0.760229962,-0.139521122,0.031702995,-1.252347946,1.260494586
0.764997774,-0.208946943,-0.014680147,-1.45854044,1.473504172
0.769764806,-0.313336492,-0.051163793,-1.646469593,1.676800409
0.774531056,-0.403296232,-0.077566028,-1.868571758,1.913171387
0.779298087,-0.465381444,-0.084177732,-2.134143829,2.185917579
0.784065899,-0.50027436,-0.03265202,-2.364472389,2.417037499
0.788832931,-0.51072675,0.050716877,-2.533672333,2.585132396
0.793599181,-0.504262865,0.142251015,-2.665978909,2.716976247
0.798366212,-0.447706938,0.256386876,-2.759296417,2.807114613
0.803134024,-0.355397821,0.36949718,-2.802064419,2.848578731
0.807901056,-0.24375397,0.455472231,-2.756581306,2.804569744
0.812667306,-0.100536585,0.511957407,-2.630525589,2.681766743
0.817434337,0.050515294,0.539031744,-2.481471539,2.539844092
