Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.102275312,0.586491585,0.371613503,-0.236730576,0.733560045
0.107041302,0.540237427,0.436944962,-0.447973251,0.82671483
0.11180651,0.413634777,0.321679115,-0.661987305,0.844273874
0.1165725,0.179668903,-0.009158611,-0.918164253,0.935622996
0.121339219,0.025793314,-0.23620081,-0.955677986,0.984772324
0.126105208,-0.093333244,-0.32500124,-0.768298149,0.839415836
0.130870416,-0.438679695,-0.520828724,-0.571329117,0.888886604
0.135636406,-0.9732759,-0.881923437,-0.394524097,1.371387688
0.140403177,-1.544761419,-1.403751135,-0.361871243,2.118432413
0.145169166,-1.758258462,-1.645064116,-0.264223576,2.422297022
0.149934375,-1.437002897,-1.381435156,-0.013105392,1.993367043
0.154700364,-1.307781339,-1.418789864,0.120530129,1.933334999
0.159467083,-0.882459641,-1.315787554,0.222071648,1.59979615
0.164233073,0.173718929,-0.617372036,0.362410545,0.736659963
0.168998281,0.877589226,0.012844324,0.224555969,0.905954309
0.173764271,1.14342761,0.555320978,-0.038849831,1.271737944
0.178531041,1.270053148,0.988430023,-0.049801826,1.610127055
0.183297031,1.428129911,1.362432718,0.241048813,1.988437197
0.188062187,1.685306787,1.686062336,0.639192581,2.468123239
0.192828177,2.083849192,1.939576864,1.047032356,3.033259405
0.197594948,2.543462753,2.094326258,1.400318146,3.579985497
0.202360937,2.915274382,2.05490756,1.513571739,3.874579875
0.207126146,3.008412361,1.886137009,1.606026649,3.897098837
0.211892135,2.793052912,1.690363646,1.867486,3.761113902
0.216658906,2.442170143,1.457896471,2.126446724,3.551257918
0.221424844,2.130500793,1.165673733,2.204159737,3.279656846
0.226190104,1.897567511,0.803150177,2.058954239,2.912920394
0.230956041,1.68587184,0.400306225,1.729054451,2.447864013
0.235722812,1.448883772,0.042604923,1.316753387,1.958294883
0.240488802,1.139321089,-0.179144144,0.940259934,1.488030211
0.24525401,0.744456053,-0.290477514,0.677384377,1.047588466
0.25002,0.327290535,-0.35363698,0.526899338,0.714003586
0.254786771,-0.02465272,-0.41312623,0.372997284,0.557142722
0.25955276,-0.260872603,-0.495998859,0.177296639,0.587795442
0.264317969,-0.411395073,-0.577377319,-0.048564911,0.710611726
0.269083906,-0.510248184,-0.649244785,-0.27449131,0.870182441
0.273850677,-0.555732012,-0.708588362,-0.48255825,1.021664329
0.278616666,-0.574707508,-0.787748337,-0.685473442,1.191935402
0.283381875,-0.582103729,-0.843569279,-0.883686543,1.353275946
0.288147864,-0.581080437,-0.836334229,-1.051528454,1.463837937
0.292914635,-0.55822134,-0.788370132,-1.14953661,1.501523542
0.297680625,-0.488188267,-0.696001291,-1.143586159,1.42496838
0.302445833,-0.3835392,-0.586399078,-1.035232544,1.250069045
0.307211771,-0.272829771,-0.488707542,-0.870612621,1.03500603
0.311978541,-0.153548002,-0.400920868,-0.695047379,0.816948829
0.316744531,0.009563208,-0.316347122,-0.555371285,0.639221574
0.321509739,0.225093126,-0.235322475,-0.462340355,0.565510554
0.326275729,0.485765934,-0.153232098,-0.363427162,0.62572192
0.3310425,0.777963162,-0.028712749,-0.180789948,0.799209677
0.335808489,1.092155218,0.117877007,-0.06608963,1.10048437
0.340573698,1.334699392,0.16310072,-0.123295784,1.350268922
0.345339687,1.416997433,0.060091972,-0.109866142,1.422520066
0.350106458,1.364204407,-0.074281216,0.047100067,1.367036861
0.354872396,1.309306622,-0.147587776,0.27889061,1.346790983
0.359637604,1.301269531,-0.186634064,0.567142487,1.431707116
0.364403594,1.274305105,-0.302661896,0.795013428,1.532156674
0.369170364,1.214292765,-0.508524418,0.876072884,1.58133099
0.373936354,1.156442642,-0.741267204,0.843140602,1.611745243
0.378701562,1.076037645,-0.931722641,0.716888428,1.593704211
0.383467552,0.969964504,-1.03071928,0.546080589,1.517042315
0.388234323,0.832372427,-1.065357447,0.374311447,1.402832636
0.393000312,0.648303986,-1.079032898,0.197315216,1.274183404
0.397765521,0.479329348,-1.093163729,0.074258804,1.195942278
0.40253151,0.358371019,-1.114812851,0.023241997,1.171229128
0.407298281,0.275182247,-1.148472071,0.000752449,1.180980073
0.412064219,0.23575449,-1.191708088,-0.021649361,1.214996725
0.416829427,0.219917059,-1.225840569,-0.031659126,1.245813354
0.421595416,0.22486496,-1.227631569,0.008625984,1.248085705
0.426362187,0.27033329,-1.204952478,0.112559319,1.240024259
0.431128177,0.357245684,-1.149040937,0.236476898,1.226311901
0.435893385,0.45588994,-1.117372036,0.339512825,1.253644632
0.440659375,0.303328276,-1.402791977,0.562848091,1.541632689
0.445426146,-0.014345884,-1.810159445,0.748905182,1.959015567
0.450192135,-0.028004169,-1.855693579,0.722780228,1.991681237
0.454957344,0.195625782,-1.673770905,0.590838432,1.785740334
0.459723333,0.281009674,-1.489254475,0.109495163,1.519484952
0.464490104,0.101912499,-1.446197987,-0.692094326,1.606508428
0.469256094,-0.136872768,-1.452642441,-1.327156544,1.972371341
0.474021302,-0.179724217,-1.29216671,-1.528601646,2.009631457
0.478787291,0.013130665,-1.028279305,-1.495910645,1.815290445
0.48355401,0.313741446,-0.792864084,-1.54156065,1.761668637
0.48832,0.59010601,-0.640511036,-1.702127934,1.91199346
0.493085208,0.787520409,-0.554055214,-1.919205189,2.147210779
0.497851198,0.929490328,-0.476148605,-2.177499294,2.414989222
0.502617969,0.987098932,-0.406768799,-2.416909218,2.642210311
0.507383958,0.950904369,-0.371839523,-2.608892918,2.80157206
0.512149166,0.856698751,-0.366264343,-2.737040043,2.891274895
0.516915156,0.719026566,-0.394528389,-2.756783485,2.876196627
0.521681927,0.538552046,-0.480166435,-2.652528286,2.748909678
0.526447916,0.297148466,-0.632009983,-2.439844131,2.537828445
0.531213125,0.031550646,-0.837639332,-2.172048569,2.328181711
0.535979114,-0.205616951,-1.060891628,-1.920852661,2.203961053
0.540745885,-0.404775858,-1.254076242,-1.733648777,2.177633761
0.545511875,-0.527619839,-1.393653631,-1.600647926,2.186944655
0.550277083,-0.600110769,-1.470367908,-1.500458717,2.184832049
0.555043073,-0.660110951,-1.506068468,-1.444871902,2.188982301
0.559809844,-0.723874331,-1.534098387,-1.450386524,2.231831754
0.564575833,-0.833840609,-1.596877575,-1.464531422,2.321671905
0.569341041,-1.017821074,-1.724540472,-1.461457729,2.47908416
0.574107031,-1.275048733,-1.894881725,-1.441527843,2.700801464
0.578873802,-1.559855223,-2.062123299,-1.416914463,2.948414389
0.583639791,-1.831911325,-2.211854696,-1.411379337,3.20002999
0.588405,-2.106034756,-2.3273983,-1.384278297,3.430508948
0.593170989,-2.330696583,-2.375632763,-1.342609406,3.58864565
0.597937708,-2.457136631,-2.359487295,-1.314548016,3.651402088
0.602703698,-2.469895363,-2.277331591,-1.266326904,3.590293318
0.607468958,-2.365788221,-2.120670557,-1.178344727,3.388612373
0.612234896,-2.15427494,-1.931116343,-1.168241024,3.120079797
0.617001666,-1.814440727,-1.683642864,-1.359241962,2.823895742
0.621767656,-1.333922625,-1.355938673,-1.610444069,2.492277944
0.626532864,-0.825533629,-1.011126518,-1.716059685,2.15609449
0.631298854,-0.414919376,-0.730500221,-1.716958046,1.911474194
