"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.061585490E-1,7.713189125E-1,-2.444989204E0,3.756031036E0,4.547600930E0
1.111311530E-1,2.922017574E-1,-2.727692842E0,3.753907204E0,4.649463346E0
1.161037580E-1,-2.256016731E-1,-2.960666656E0,3.747276306E0,4.781058761E0
1.210763620E-1,-6.755750179E-1,-3.170359612E0,3.621153831E0,4.860075796E0
1.260489660E-1,-9.159693718E-1,-3.367265224E0,3.225100517E0,4.751710043E0
1.310215700E-1,-9.330799580E-1,-3.540009975E0,2.566358566E0,4.470850604E0
1.359941740E-1,-9.217424393E-1,-3.645186424E0,1.878066063E0,4.202871082E0
1.409667780E-1,-8.891892433E-1,-3.628971100E0,1.195874214E0,3.923035036E0
1.459393830E-1,-7.223248482E-1,-3.509164810E0,3.233966827E-1,3.597301248E0
1.507658930E-1,-4.501733780E-1,-3.304794312E0,-6.844635010E-1,3.404821845E0
1.557384970E-1,5.982558727E-1,-2.633585930E0,-2.447273254E0,3.644561883E0
1.607111010E-1,1.001964092E0,-2.169878721E0,-2.473767281E0,3.439742762E0
1.656837060E-1,1.395232201E0,-1.731564760E0,-2.298371315E0,3.198046296E0
1.706563100E-1,1.753200412E0,-1.323738575E0,-2.016777039E0,2.982177916E0
1.756289140E-1,2.009834528E0,-1.025268555E0,-1.790382385E0,2.880291569E0
1.806015180E-1,2.134290457E0,-8.759424686E-1,-1.683237076E0,2.855828779E0
1.855741220E-1,2.133167267E0,-8.501207829E-1,-1.609764099E0,2.804362385E0
1.905467260E-1,1.977348328E0,-8.817446828E-1,-1.485094070E0,2.625430344E0
1.955193310E-1,1.633291721E0,-8.910216093E-1,-1.442914009E0,2.354477053E0
2.004919350E-1,1.248401403E0,-9.252690673E-1,-1.627449989E0,2.250160523E0
2.054645390E-1,9.793688059E-1,-1.004838824E0,-2.079647064E0,2.508743955E0
2.104371430E-1,7.535704970E-1,-1.114720225E0,-2.599985123E0,2.927523239E0
